timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
169795,130.536,5.889455,6.216414e+07,-93,3,78,1340,16.124,-72,4,45,379,2006,3777,687,688,846,860
191288,119.124,5.227719,6.233393e+07,-65,16,79,1356,16.159,-48,6,48,273,2093,4378,775,693,840,884
200537,119.124,4.986611,6.252522e+07,-20,43,62,1326,16.221,-17,25,28,200,1764,3881,624,741,836,751
200311,108.324,4.992237,6.272576e+07,-4,61,3,1318,16.177,-3,39,2,89,1609,3394,678,708,757,753
190617,110.7,5.246122,6.532801e+07,0,0,7,1929,14.094,-4,-7,-3,-2195,1240,1090,1718,1800,2047,1858
9161,110.7,109.1584,6.551863e+07,0,0,5,1929,13.952,-2,-1,-1,-2022,627,-1747,1764,1844,2030,1912
201646,124.272,4.959186,6.552779e+07,0,0,5,1929,13.952,-2,-6,1,-2187,582,-1139,1835,1858,2042,1922
199581,141.876,5.010497,6.572944e+07,0,0,7,1929,14.369,-8,0,-2,-2018,-119,201,1737,1870,2047,1901
230055,169.128,4.346787,6.592902e+07,0,0,5,1929,13.943,13,-1,3,-1885,-553,-308,1873,1931,1945,1895
169831,169.128,5.888207,6.615907e+07,0,0,7,1929,13.996,8,4,4,-1896,128,1898,1828,1914,1959,1937
199674,213.588,5.008163,6.63289e+07,0,0,7,1929,13.996,-1,-1,8,-2017,127,-1555,1849,1826,1975,1990
200803,224.388,4.980005,6.652858e+07,0,0,7,1929,14.192,-3,-1,2,-1766,-23,-162,1771,1836,2047,1939
200730,232.056,4.981816,6.672938e+07,0,0,7,1929,13.943,8,2,-2,-2079,116,1478,1802,1937,2033,1888
229566,237.672,4.356046,6.693011e+07,0,0,4,1914,13.926,4,7,0,-2025,179,-1462,1760,1853,1967,1922
171162,242.28,5.842418,6.715968e+07,-1,0,-5,1734,14.839,2,2,-2,-2185,429,-2203,1427,1475,1607,1592
199561,245.052,5.010999,6.733084e+07,-3,0,-4,1650,15.131,-4,-5,-1,-2226,665,-1380,1281,1260,1493,1411
200524,246.204,4.986934,6.75304e+07,-3,0,-3,1550,15.53,-2,-5,-4,-2187,99,-2865,1078,1128,1281,1190
