timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse
0D00:00:56.755423000,20,1.329391,103.7862,23,0.02,74.1
0D00:00:57.013909000,20,1.329391,103.7862,23,0.02,74.1
0D00:00:57.134076000,20,1.329391,103.7862,23,0.01,74.1
0D00:00:57.324058000,20,1.329391,103.7862,23,0.05,74.1
0D00:00:57.524557000,20,1.329391,103.7862,23,0.1,74.1
0D00:00:57.724492000,20,1.329391,103.7862,23,0.12,74.1
0D00:00:58.004949000,20,1.32939,103.7862,23,0.22,74.1
0D00:00:58.124763000,20,1.329389,103.7862,23,0.61,154.3
0D00:00:58.325216000,20,1.329385,103.7862,24,1.38,164.5
0D00:00:58.525649000,20,1.329378,103.7862,24,2.96,170.9
0D00:00:58.726071000,20,1.329369,103.7862,25,4.56,178.1
0D00:00:59.016451000,20,1.329358,103.7862,26,5.67,180.4
0D00:00:59.126746000,20,1.329345,103.7862,26,6.96,179.7
0D00:00:59.306603000,21,1.329345,103.7862,26,7.64,169.5
0D00:00:59.326895000,21,1.329331,103.7862,27,7.64,169.5
0D00:00:59.537128000,21,1.329317,103.7863,28,8.98,151.1
0D00:00:59.737674000,21,1.329305,103.7863,29,11.06,131.8
0D00:01:00.017675000,21,1.329293,103.7863,30,13.19,119.8
0D00:01:00.127887000,21,1.329283,103.7863,31,15.64,112.7
0D00:01:00.328391000,21,1.329274,103.7864,31,17.87,107.2
0D00:01:00.528572000,21,1.329266,103.7864,32,22.04,101.8
0D00:01:00.728559000,21,1.329257,103.7865,33,26.2,100.7
0D00:01:01.018759000,21,1.329247,103.7865,33,30.62,99.4
0D00:01:01.138851000,21,1.329236,103.7866,34,33.92,99.3
0D00:01:01.329175000,21,1.329226,103.7866,35,35.53,99.9
0D00:01:01.529572000,21,1.329216,103.7867,36,36.03,99.1
0D00:01:01.729625000,21,1.329207,103.7868,37,36.2,98.6
0D00:01:02.019965000,21,1.3292,103.7868,39,36.17,97.4
0D00:01:02.130023000,21,1.329195,103.7869,40,35.89,95.1
0D00:01:02.330328000,21,1.329194,103.787,41,36.62,92
0D00:01:02.530525000,21,1.329192,103.787,42,37.53,91.2
0D00:01:02.730543000,21,1.329192,103.7871,44,38.38,90.8
0D00:01:03.020811000,21,1.329192,103.7872,46,39.35,90.4
0D00:01:03.131156000,21,1.329192,103.7872,48,40.91,89.5
0D00:01:03.311222000,20,1.329192,103.7872,48,42.39,89.6
0D00:01:03.331001000,20,1.329193,103.7873,50,42.39,89.6
0D00:01:03.531076000,20,1.329192,103.7874,53,41.12,90
0D00:01:03.711172000,19,1.329192,103.7874,53,41.24,90.6
0D00:01:03.731225000,19,1.329193,103.7875,55,41.24,90.6
0D00:01:04.021519000,19,1.329196,103.7875,58,41.14,88.8
0D00:01:04.121517000,20,1.329196,103.7875,58,41.76,86.5
0D00:01:04.131638000,20,1.329202,103.7876,61,41.76,86.5
0D00:01:04.331768000,20,1.329208,103.7877,64,42.49,84.7
0D00:01:04.531794000,20,1.329212,103.7878,67,41.8,85.3
0D00:01:04.731854000,20,1.329209,103.7878,70,41.28,89.1
0D00:01:04.911855000,19,1.329209,103.7878,70,40.55,95.7
0D00:01:05.022232000,19,1.329196,103.7879,73,40.55,95.7
0D00:01:05.132485000,19,1.329171,103.788,75,40.01,105.3
0D00:01:05.332560000,19,1.329134,103.788,77,39.52,115.9
0D00:01:05.533010000,19,1.329087,103.7881,79,38.95,127.2
0D00:01:05.703530000,18,1.329087,103.7881,79,37.48,139.1
0D00:01:05.713141000,18,1.329032,103.7881,81,37.48,139.1
0D00:01:05.913802000,19,1.329032,103.7881,81,36.88,150.8
0D00:01:06.013620000,19,1.328973,103.7882,82,36.88,150.8
0D00:01:06.114007000,18,1.328973,103.7882,82,33.65,165.6
0D00:01:06.134132000,18,1.328916,103.7882,83,33.65,165.6
0D00:01:06.334000000,18,1.328861,103.7882,83,31.05,180.2
0D00:01:06.534352000,18,1.328806,103.7881,83,31.51,196.1
0D00:01:06.714512000,16,1.328806,103.7881,83,36.02,212.1
0D00:01:06.734780000,16,1.328749,103.7881,81,36.02,212.1
0D00:01:06.914898000,17,1.328749,103.7881,81,43.85,223.4
0D00:01:07.025013000,17,1.328695,103.788,80,43.85,223.4
0D00:01:07.115107000,16,1.328695,103.788,80,47.89,234.1
0D00:01:07.134975000,16,1.328651,103.7879,79,47.89,234.1
0D00:01:07.334901000,16,1.328622,103.7879,77,49.62,245.1
0D00:01:07.535184000,16,1.328607,103.7878,76,49.62,256.1
0D00:01:07.725468000,17,1.328607,103.7878,76,50.22,264.4
0D00:01:07.735167000,17,1.3286,103.7877,75,50.22,264.4
0D00:01:08.025351000,17,1.328597,103.7876,74,51.72,267.1
0D00:01:08.135512000,17,1.328594,103.7875,74,54.76,268.6
0D00:01:08.315379000,19,1.328594,103.7875,74,57.45,268.5
0D00:01:08.335678000,19,1.328591,103.7874,74,57.45,268.5
0D00:01:08.535869000,19,1.328586,103.7873,74,58.7,267.9
0D00:01:08.725539000,17,1.328586,103.7873,74,59.39,267
0D00:01:08.735675000,17,1.32858,103.7872,74,59.39,267
0D00:01:09.036133000,17,1.328573,103.7871,74,59.68,266.4
0D00:01:09.126233000,18,1.328573,103.7871,74,59.77,265.9
0D00:01:09.136379000,18,1.328564,103.787,74,59.77,265.9
0D00:01:09.336277000,18,1.328555,103.7868,74,58.84,265.3
0D00:01:09.526531000,19,1.328555,103.7868,74,53.66,264.2
0D00:01:09.536702000,19,1.328545,103.7868,73,53.66,264.2
0D00:01:09.726814000,20,1.328545,103.7868,73,50.18,263.8
0D00:01:09.736952000,20,1.328535,103.7867,73,50.18,263.8
0D00:01:09.926781000,19,1.328535,103.7867,73,48.9,263.3
0D00:01:10.036882000,19,1.328525,103.7866,73,48.9,263.3
0D00:01:10.106779000,18,1.328525,103.7866,73,48.73,263.2
0D00:01:10.126829000,18,1.328514,103.7865,73,48.73,263.2
0D00:01:10.326868000,18,1.328498,103.7864,73,47.06,261.9
0D00:01:10.527353000,18,1.328473,103.7863,73,44.43,255.7
0D00:01:10.707395000,19,1.328473,103.7863,73,42.14,246
0D00:01:10.727641000,19,1.328437,103.7863,73,42.14,246
0D00:01:11.008137000,19,1.328393,103.7862,73,38.45,233.9
0D00:01:11.107892000,18,1.328393,103.7862,73,35.23,222.2
0D00:01:11.128302000,18,1.328345,103.7862,73,35.23,222.2
0D00:01:11.318425000,18,1.328296,103.7862,74,31.1,207.3
0D00:01:11.508475000,19,1.328296,103.7862,74,26.54,192.2
0D00:01:11.518662000,19,1.328252,103.7862,75,26.54,192.2
0D00:01:11.718991000,19,1.328213,103.7862,77,23.1,173.7
0D00:01:12.019239000,19,1.328181,103.7862,79,22.66,152
0D00:01:12.109518000,17,1.328181,103.7862,79,23.66,133.2
0D00:01:12.119788000,17,1.328156,103.7862,81,23.66,133.2
0D00:01:12.330074000,17,1.32814,103.7863,83,24.64,116.8
0D00:01:12.520423000,17,1.328131,103.7863,86,26.06,103.7
0D00:01:12.720408000,17,1.328126,103.7864,89,27.35,97.9
0D00:01:12.910858000,16,1.328126,103.7864,89,29.59,94.7
0D00:01:13.020787000,16,1.328122,103.7864,91,29.59,94.7
0D00:01:13.130897000,16,1.328119,103.7865,93,33,93.1
0D00:01:13.331592000,16,1.328115,103.7866,95,34.62,93.2
0D00:01:13.521389000,16,1.328111,103.7866,97,36,93.4
0D00:01:13.731696000,16,1.32811,103.7867,99,36.48,92.7
0D00:01:13.912324000,17,1.32811,103.7867,99,35.57,89.2
0D00:01:14.022266000,17,1.328113,103.7868,101,35.57,89.2
0D00:01:14.132591000,17,1.328118,103.7868,102,34.92,86.5
0D00:01:14.312781000,18,1.328118,103.7868,102,34.49,82.9
0D00:01:14.333077000,18,1.328126,103.7869,103,34.49,82.9
0D00:01:14.532997000,18,1.328134,103.7869,104,34.89,82.6
0D00:01:14.733374000,18,1.328139,103.787,105,35.81,84.5
0D00:01:15.024048000,18,1.328143,103.7871,105,36.37,86.2
0D00:01:15.133986000,18,1.328147,103.7871,106,37.31,87.1
0D00:01:15.324445000,18,1.328151,103.7872,106,37.83,87.3
0D00:01:15.524819000,18,1.328157,103.7873,107,37.87,86.2
0D00:01:15.715072000,17,1.328157,103.7873,107,37.85,84.6
0D00:01:15.724700000,17,1.328164,103.7874,108,37.85,84.6
0D00:01:16.025550000,17,1.328173,103.7874,108,38.03,83.4
0D00:01:16.125606000,17,1.328182,103.7875,109,38.11,82.5
0D00:01:16.315876000,19,1.328182,103.7875,109,38.06,81.6
0D00:01:16.326041000,19,1.328193,103.7876,109,38.06,81.6
0D00:01:16.525982000,19,1.328205,103.7876,110,38.21,80.8
0D00:01:16.726335000,19,1.328218,103.7877,110,38.18,80
0D00:01:17.026531000,19,1.328233,103.7878,111,37.74,78.4
0D00:01:17.136565000,19,1.328252,103.7878,111,37.23,76
0D00:01:17.336893000,19,1.328276,103.7879,111,35.57,71.2
0D00:01:17.517127000,18,1.328276,103.7879,111,31.72,61.9
0D00:01:17.526781000,18,1.328303,103.7879,112,31.72,61.9
0D00:01:17.717499000,17,1.328303,103.7879,112,26.57,55.1
0D00:01:17.737521000,17,1.32833,103.788,112,26.57,55.1
0D00:01:17.917547000,18,1.32833,103.788,112,22.12,50.6
0D00:01:18.027701000,18,1.328353,103.788,112,22.12,50.6
0D00:01:18.117965000,17,1.328353,103.788,112,17.32,48.6
0D00:01:18.127642000,17,1.328371,103.788,111,17.32,48.6
0D00:01:18.328230000,17,1.328383,103.788,110,12.2,47.8
0D00:01:18.528486000,17,1.328391,103.788,109,8.26,42.8
0D00:01:18.708633000,18,1.328391,103.788,109,3.19,40.8
0D00:01:18.728871000,18,1.328393,103.788,108,3.19,40.8
0D00:01:19.029037000,18,1.328391,103.788,106,3,340.7
0D00:01:19.129435000,18,1.328384,103.788,105,9.5,255.5
0D00:01:19.329869000,18,1.328373,103.7879,103,21.2,256.4
0D00:01:19.530078000,18,1.328358,103.7879,101,33.15,257.8
0D00:01:19.720221000,17,1.328358,103.7879,101,43.6,257.2
0D00:01:19.730355000,17,1.328339,103.7878,100,43.6,257.2
0D00:01:20.030379000,17,1.328317,103.7877,98,51.2,257.1
0D00:01:20.120629000,18,1.328317,103.7877,98,56.24,257.1
0D00:01:20.140680000,18,1.328294,103.7876,96,56.24,257.1
0D00:01:20.340698000,18,1.328269,103.7875,95,59.35,257
0D00:01:20.540699000,18,1.328244,103.7874,93,61.72,257.1
0D00:01:20.740864000,18,1.328218,103.7873,92,63.14,257.1
0D00:01:21.031458000,18,1.328192,103.7871,90,63.96,257
0D00:01:21.141197000,18,1.328166,103.787,89,64.37,256.8
0D00:01:21.331501000,18,1.328139,103.7869,87,64.77,256.8
0D00:01:21.541681000,18,1.328112,103.7868,85,64.93,256.6
0D00:01:21.721881000,19,1.328112,103.7868,85,63.61,256.3
0D00:01:21.741921000,19,1.32808,103.7867,84,63.61,256.3
0D00:01:22.032251000,19,1.32804,103.7866,82,56.49,249.7
0D00:01:22.142127000,19,1.327996,103.7866,80,47.5,237.8
0D00:01:22.342053000,19,1.327956,103.7865,79,38.33,233.2
0D00:01:22.542208000,19,1.327919,103.7865,77,31.52,227.6
0D00:01:22.742551000,19,1.327886,103.7864,76,26.43,221.1
0D00:01:22.922506000,17,1.327886,103.7864,76,20.18,216.6
0D00:01:23.032546000,17,1.327861,103.7864,74,20.18,216.6
0D00:01:23.142718000,17,1.32784,103.7864,72,14.81,213
0D00:01:23.342651000,17,1.327825,103.7864,70,10.45,200.5
0D00:01:23.542991000,17,1.327815,103.7864,69,7.24,172.3
0D00:01:23.742908000,17,1.327809,103.7864,67,7.19,130.4
0D00:01:23.924017000,16,1.327809,103.7864,67,10.18,102.7
0D00:01:24.033585000,16,1.327806,103.7865,65,10.18,102.7
0D00:01:24.123282000,17,1.327806,103.7865,65,14,93.6
0D00:01:24.143312000,17,1.327806,103.7865,64,14,93.6
0D00:01:24.343629000,17,1.327809,103.7865,63,17.97,86.4
0D00:01:24.543390000,17,1.327815,103.7866,62,21.72,83.4
0D00:01:24.743512000,17,1.327825,103.7866,62,27.17,81.1
0D00:01:24.923699000,18,1.327825,103.7866,62,33.58,79
0D00:01:25.033824000,18,1.327837,103.7867,63,33.58,79
0D00:01:25.144002000,18,1.327851,103.7867,64,36.42,78.3
0D00:01:25.344073000,18,1.327864,103.7868,65,36.43,78.4
0D00:01:25.543950000,18,1.327877,103.7869,66,36.77,78.6
0D00:01:25.743872000,18,1.327893,103.7869,67,38.66,78.5
0D00:01:26.034457000,18,1.327913,103.787,67,46.14,77.7
0D00:01:26.134557000,19,1.327913,103.787,67,52.89,76.8
0D00:01:26.144159000,19,1.327936,103.7871,68,52.89,76.8
0D00:01:26.334450000,18,1.327936,103.7871,68,57.28,76.4
0D00:01:26.344595000,18,1.327961,103.7872,69,57.28,76.4
0D00:01:26.524641000,17,1.327961,103.7872,69,60.34,76.1
0D00:01:26.544745000,17,1.327988,103.7873,70,60.34,76.1
0D00:01:26.734711000,18,1.327988,103.7873,70,62.19,75.9
0D00:01:26.744886000,18,1.328016,103.7875,70,62.19,75.9
0D00:01:26.934766000,17,1.328016,103.7875,70,63.09,75.5
0D00:01:27.034805000,17,1.328045,103.7876,71,63.09,75.5
0D00:01:27.125250000,18,1.328045,103.7876,71,64.11,75.5
0D00:01:27.145077000,18,1.328073,103.7877,72,64.11,75.5
0D00:01:27.344896000,18,1.328103,103.7878,72,64.82,75.8
0D00:01:27.545536000,18,1.32814,103.7879,73,64.5,75
0D00:01:27.735632000,19,1.32814,103.7879,73,58.35,65.8
0D00:01:27.745810000,19,1.328187,103.788,73,58.35,65.8
0D00:01:27.925591000,17,1.328187,103.788,73,47.92,54.1
0D00:01:28.035856000,17,1.32824,103.788,72,47.92,54.1
0D00:01:28.135979000,18,1.32824,103.788,72,37.92,37.5
0D00:01:28.145597000,18,1.328293,103.7881,71,37.92,37.5
0D00:01:28.345860000,18,1.328343,103.7881,70,30.99,20.8
0D00:01:28.545796000,18,1.328389,103.7881,69,26.8,2.9
0D00:01:28.746440000,18,1.328426,103.788,67,24.78,341
0D00:01:29.036421000,18,1.328454,103.788,66,24.55,317
0D00:01:29.126316000,15,1.328454,103.788,66,27.28,297.3
0D00:01:29.146320000,15,1.328472,103.788,66,27.28,297.3
0D00:01:29.346870000,15,1.328483,103.7879,66,31.3,284.7
0D00:01:29.546965000,15,1.328488,103.7878,66,34.24,277.2
0D00:01:29.746783000,15,1.328488,103.7878,67,36.81,271.5
0D00:01:30.037080000,15,1.328485,103.7877,68,37.6,268.6
0D00:01:30.137151000,16,1.328485,103.7877,68,37.45,266.3
0D00:01:30.147279000,16,1.32848,103.7876,69,37.45,266.3
0D00:01:30.347382000,16,1.328472,103.7876,70,37.34,264.1
0D00:01:30.547164000,16,1.328463,103.7875,71,37.29,262.7
0D00:01:30.747887000,16,1.328453,103.7874,72,37.28,261.5
0D00:01:31.037658000,16,1.328441,103.7874,74,37.45,260.5
0D00:01:31.148007000,16,1.328428,103.7873,76,37.56,259.3
0D00:01:31.358153000,16,1.328413,103.7872,78,37.69,258.1
0D00:01:31.538229000,17,1.328413,103.7872,78,38.08,256.7
0D00:01:31.548386000,17,1.328397,103.7872,80,38.08,256.7
0D00:01:31.748406000,17,1.32838,103.7871,83,38.16,255.9
0D00:01:32.038571000,17,1.328361,103.787,85,37.96,255.3
0D00:01:32.148709000,17,1.328342,103.787,88,38.39,254.4
0D00:01:32.349243000,17,1.32832,103.7869,90,38.83,253.3
0D00:01:32.549369000,17,1.328297,103.7868,92,39.36,251.2
0D00:01:32.739659000,18,1.328297,103.7868,92,40.42,251.1
0D00:01:32.749861000,18,1.328274,103.7868,94,40.42,251.1
0D00:01:33.040366000,18,1.328253,103.7867,95,40.93,253
0D00:01:33.160649000,18,1.328234,103.7866,97,41.2,254.5
0D00:01:33.350901000,18,1.328216,103.7865,98,41.33,255.6
0D00:01:33.561039000,18,1.328199,103.7865,100,41,256.3
0D00:01:33.761488000,18,1.328184,103.7864,101,40.2,256.8
0D00:01:33.941462000,19,1.328184,103.7864,101,39.27,258.4
0D00:01:34.051735000,19,1.328171,103.7863,102,39.27,258.4
0D00:01:34.141910000,18,1.328171,103.7863,102,38.5,261.1
0D00:01:34.162007000,18,1.328162,103.7863,103,38.5,261.1
0D00:01:34.352414000,18,1.328156,103.7862,104,37.98,263.4
0D00:01:34.542282000,19,1.328156,103.7862,104,38.18,266
0D00:01:34.562614000,19,1.328153,103.7861,105,38.18,266
0D00:01:34.762640000,19,1.328151,103.7861,107,38.84,268
0D00:01:34.943119000,20,1.328151,103.7861,107,39.55,269.4
0D00:01:35.053514000,20,1.328151,103.786,108,39.55,269.4
0D00:01:35.163646000,20,1.328153,103.7859,110,40.16,270.2
0D00:01:35.363796000,20,1.328159,103.7858,112,39.33,272.4
0D00:01:35.564274000,20,1.328172,103.7858,114,37.51,278.1
0D00:01:35.744299000,19,1.328172,103.7858,114,35.39,285.9
0D00:01:35.754226000,19,1.328194,103.7857,116,35.39,285.9
0D00:01:36.045020000,19,1.328223,103.7857,118,31.31,297
0D00:01:36.144929000,18,1.328223,103.7857,118,27,309.4
0D00:01:36.155091000,18,1.328254,103.7857,120,27,309.4
0D00:01:36.355708000,18,1.328282,103.7856,121,22.21,320.6
0D00:01:36.546033000,19,1.328282,103.7856,121,15.62,336.3
0D00:01:36.555970000,19,1.328304,103.7856,123,15.62,336.3
0D00:01:36.766138000,19,1.328318,103.7856,124,9.64,346.1
0D00:01:36.936024000,20,1.328318,103.7856,124,7.25,10.3
0D00:01:37.046116000,20,1.32833,103.7856,124,7.25,10.3
0D00:01:37.146284000,19,1.32833,103.7856,124,6.8,31.9
0D00:01:37.156463000,19,1.328338,103.7856,125,6.8,31.9
0D00:01:37.356621000,19,1.328344,103.7857,125,9.78,66.6
0D00:01:37.557142000,19,1.32835,103.7857,124,16.84,78.7
0D00:01:37.757188000,19,1.328354,103.7858,124,26.17,83.9
0D00:01:38.047925000,19,1.328358,103.7858,123,34.52,86.4
0D00:01:38.158146000,19,1.328362,103.7859,123,43.77,87.2
0D00:01:38.358442000,19,1.328366,103.786,122,51.14,87.4
0D00:01:38.558376000,19,1.32837,103.7861,122,55.95,87.6
0D00:01:38.758824000,19,1.328375,103.7862,122,59.41,87.4
0D00:01:39.049107000,19,1.328381,103.7863,121,61.56,87.3
0D00:01:39.159529000,19,1.328387,103.7864,121,63.16,86.9
0D00:01:39.349972000,18,1.328387,103.7864,121,64.15,86.6
0D00:01:39.359629000,18,1.328394,103.7866,121,64.15,86.6
0D00:01:39.559964000,18,1.328402,103.7867,121,64.6,86.4
0D00:01:39.750489000,19,1.328402,103.7867,121,65.02,86.2
0D00:01:39.760176000,19,1.32841,103.7868,121,65.02,86.2
0D00:01:40.050723000,19,1.32842,103.7869,119,64.73,85.2
0D00:01:40.170947000,19,1.328432,103.787,116,64.16,84.8
0D00:01:40.371461000,19,1.328445,103.7871,112,63.04,83.5
0D00:01:40.571799000,19,1.328459,103.7872,109,62.95,83
0D00:01:40.771660000,19,1.328476,103.7874,105,63.66,82.6
0D00:01:41.052157000,19,1.328501,103.7875,102,62.11,80.4
0D00:01:41.172505000,19,1.328536,103.7875,100,53.64,70.9
0D00:01:41.372844000,19,1.328575,103.7876,97,44,61.9
0D00:01:41.552890000,20,1.328575,103.7876,97,35.86,53.2
0D00:01:41.572987000,20,1.328613,103.7876,95,35.86,53.2
0D00:01:41.773476000,20,1.328649,103.7877,93,29.64,45.5
0D00:01:41.953592000,19,1.328649,103.7877,93,24.32,37.9
0D00:01:42.054021000,19,1.328683,103.7877,91,24.32,37.9
0D00:01:42.143933000,20,1.328683,103.7877,91,20.04,24.1
0D00:01:42.163789000,20,1.328714,103.7877,89,20.04,24.1
0D00:01:42.354431000,19,1.328714,103.7877,89,16.02,1.3
0D00:01:42.364093000,19,1.328742,103.7877,88,16.02,1.3
0D00:01:42.564411000,19,1.328765,103.7877,87,15.06,336
0D00:01:42.754710000,18,1.328765,103.7877,87,16.55,315.4
0D00:01:42.764898000,18,1.328785,103.7877,87,16.55,315.4
0D00:01:43.055031000,18,1.328801,103.7876,87,19.15,299.7
0D00:01:43.155555000,19,1.328801,103.7876,87,22.19,291.5
0D00:01:43.165213000,19,1.328814,103.7876,87,22.19,291.5
0D00:01:43.365572000,19,1.328826,103.7875,87,25.48,285.2
0D00:01:43.566148000,19,1.328834,103.7875,87,28.16,280.8
0D00:01:43.766062000,19,1.328841,103.7874,88,30.04,278
0D00:01:44.056983000,19,1.328845,103.7874,88,31.25,275.3
0D00:01:44.167090000,19,1.328847,103.7873,89,31.34,273
0D00:01:44.367693000,19,1.328848,103.7873,89,31.08,270.9
0D00:01:44.567642000,19,1.328847,103.7872,89,30.75,269.5
0D00:01:44.767758000,19,1.328846,103.7872,89,31.32,268.9
0D00:01:45.058104000,19,1.328846,103.7871,88,33.92,269.5
0D00:01:45.178509000,19,1.328847,103.787,88,39.33,270.6
0D00:01:45.368489000,19,1.32885,103.7869,89,44.83,271.2
0D00:01:45.569081000,19,1.328852,103.7868,89,51.53,271.7
0D00:01:45.759139000,18,1.328852,103.7868,89,56.98,270.4
0D00:01:45.769290000,18,1.328852,103.7867,90,56.98,270.4
0D00:01:46.059802000,18,1.32885,103.7866,91,60.16,269.4
0D00:01:46.159790000,17,1.32885,103.7866,91,62.19,268.3
0D00:01:46.170094000,17,1.328845,103.7865,92,62.19,268.3
0D00:01:46.370156000,17,1.328841,103.7864,94,63.82,267.6
0D00:01:46.560582000,16,1.328841,103.7864,94,64.55,267.3
0D00:01:46.570258000,16,1.328835,103.7863,95,64.55,267.3
0D00:01:46.771053000,16,1.32883,103.7861,96,65.42,267.1
0D00:01:47.061070000,16,1.328825,103.786,96,65.8,267.4
0D00:01:47.161503000,17,1.328825,103.786,96,66.23,267.7
0D00:01:47.171194000,17,1.328817,103.7859,95,66.23,267.7
0D00:01:47.371750000,17,1.328802,103.7858,94,64.02,265.3
0D00:01:47.562246000,18,1.328802,103.7858,94,56.31,258.1
0D00:01:47.572144000,18,1.328776,103.7857,92,56.31,258.1
0D00:01:47.762516000,19,1.328776,103.7857,92,48.62,248.6
0D00:01:47.772174000,19,1.328742,103.7856,90,48.62,248.6
0D00:01:48.062531000,19,1.328706,103.7856,88,41.38,242.2
0D00:01:48.172882000,19,1.328667,103.7855,85,35.82,233.9
0D00:01:48.373361000,19,1.328629,103.7855,83,31.29,227.2
0D00:01:48.563362000,18,1.328629,103.7855,83,27.08,220.6
0D00:01:48.573261000,18,1.328593,103.7855,80,27.08,220.6
0D00:01:48.783935000,18,1.328559,103.7854,77,23.77,214.9
0D00:01:49.064338000,18,1.328526,103.7854,75,21.11,209.6
0D00:01:49.164343000,19,1.328526,103.7854,75,18.9,203.6
0D00:01:49.174531000,19,1.328496,103.7854,72,18.9,203.6
0D00:01:49.374697000,19,1.328468,103.7854,69,16.85,196.5
0D00:01:49.574770000,19,1.328441,103.7854,66,15.33,188.6
0D00:01:49.775180000,19,1.328416,103.7854,63,14.13,179.1
0D00:01:50.065528000,19,1.328393,103.7854,60,13.5,168.6
0D00:01:50.185277000,19,1.328372,103.7854,58,15.06,145.6
0D00:01:50.375478000,19,1.328351,103.7855,55,16.34,134.9
0D00:01:50.575862000,19,1.328333,103.7855,54,17.33,127.7
0D00:01:50.765657000,18,1.328333,103.7855,54,18.27,121.1
0D00:01:50.775807000,18,1.328319,103.7855,52,18.27,121.1
0D00:01:51.066065000,18,1.328307,103.7856,52,20.63,109.2
0D00:01:51.175829000,18,1.328299,103.7856,51,22.94,103.7
0D00:01:51.376303000,18,1.328294,103.7856,51,25.34,98.4
0D00:01:51.576263000,18,1.328292,103.7857,52,24.86,95.2
0D00:01:51.786664000,18,1.328295,103.7857,52,23.68,89.2
0D00:01:52.076492000,18,1.328304,103.7858,52,22.23,81.1
0D00:01:52.186713000,18,1.328318,103.7858,52,20.9,72.2
0D00:01:52.377209000,18,1.328337,103.7858,53,20.32,62.6
0D00:01:52.557338000,19,1.328337,103.7858,53,19.82,53.8
0D00:01:52.577161000,19,1.32836,103.7859,53,19.82,53.8
0D00:01:52.777142000,19,1.328387,103.7859,53,19.71,45
0D00:01:53.067626000,19,1.328416,103.7859,53,20.05,37.6
0D00:01:53.187379000,19,1.328448,103.7859,54,20.71,33.6
0D00:01:53.367718000,20,1.328448,103.7859,54,20.84,30.2
0D00:01:53.387602000,20,1.328481,103.7859,54,20.84,30.2
0D00:01:53.587645000,20,1.328516,103.786,54,21.66,27.4
0D00:01:53.788025000,20,1.328553,103.786,54,22.03,25.7
0D00:01:54.078128000,20,1.32859,103.786,54,22.48,24.9
0D00:01:54.188168000,20,1.328626,103.786,54,22.83,26
0D00:01:54.368325000,19,1.328626,103.786,54,22.95,28.8
0D00:01:54.388214000,19,1.328661,103.786,53,22.95,28.8
0D00:01:54.568688000,20,1.328661,103.786,53,23.1,35.2
0D00:01:54.588556000,20,1.328695,103.7861,53,23.1,35.2
0D00:01:54.788515000,20,1.328726,103.7861,52,23.4,40
0D00:01:54.968570000,19,1.328726,103.7861,52,23.57,43
0D00:01:55.078557000,19,1.328755,103.7861,52,23.57,43
0D00:01:55.168688000,18,1.328755,103.7861,52,23.67,50.8
0D00:01:55.178839000,18,1.328779,103.7862,51,23.67,50.8
0D00:01:55.369011000,19,1.328779,103.7862,51,23.41,61.7
0D00:01:55.388944000,19,1.328794,103.7862,50,23.41,61.7
0D00:01:55.568964000,20,1.328794,103.7862,50,21.57,74.5
0D00:01:55.589072000,20,1.3288,103.7862,48,21.57,74.5
0D00:01:55.769228000,19,1.3288,103.7862,48,18.75,86.7
0D00:01:55.789067000,19,1.328798,103.7863,46,18.75,86.7
0D00:01:56.079234000,19,1.328792,103.7863,44,15.89,99.9
0D00:01:56.169426000,20,1.328792,103.7863,44,12.95,111.6
0D00:01:56.189563000,20,1.328782,103.7863,42,12.95,111.6
0D00:01:56.389662000,20,1.328771,103.7863,39,10.24,124.3
0D00:01:56.589562000,20,1.328761,103.7863,37,7.25,146.2
0D00:01:56.789657000,20,1.328752,103.7863,35,5.12,185.7
0D00:01:57.080074000,20,1.328745,103.7863,34,5.5,208.6
0D00:01:57.190574000,20,1.328739,103.7863,32,6.35,235.7
0D00:01:57.390525000,20,1.328737,103.7863,32,7.57,253.4
0D00:01:57.590906000,20,1.32874,103.7863,31,8.84,268.5
0D00:01:57.791405000,20,1.328746,103.7862,31,9.74,284.4
0D00:01:58.081942000,20,1.328756,103.7862,31,10.15,298.1
0D00:01:58.192084000,20,1.328769,103.7862,31,9.95,308
0D00:01:58.392245000,20,1.328784,103.7862,31,9.44,326.2
0D00:01:58.592427000,20,1.328801,103.7862,31,9.57,339.1
0D00:01:58.792774000,20,1.328819,103.7862,31,9.86,348.6
0D00:01:59.083104000,20,1.328838,103.7862,31,10.37,355.2
0D00:01:59.193182000,20,1.328859,103.7862,31,11.24,356.3
0D00:01:59.393683000,20,1.328883,103.7862,32,12.37,359.9
0D00:01:59.593957000,20,1.328907,103.7862,32,13.31,1.5
0D00:01:59.794391000,20,1.328933,103.7862,32,13.88,3.9
0D00:02:00.084790000,20,1.328958,103.7862,31,14.68,8.2
0D00:02:00.194664000,20,1.328981,103.7862,31,14.63,19
0D00:02:00.395172000,20,1.328997,103.7862,31,13.2,34.3
0D00:02:00.595263000,20,1.329007,103.7862,30,10.44,45.7
0D00:02:00.795017000,20,1.329012,103.7863,29,5.57,47.7
0D00:02:01.085377000,20,1.329016,103.7863,28,2.78,44.5
0D00:02:01.205892000,20,1.329022,103.7862,28,2.41,23.6
0D00:02:01.395550000,20,1.329029,103.7862,27,5.22,330.1
0D00:02:01.595843000,20,1.329037,103.7862,27,6.85,316.7
