timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:01:27.561329000,15,1.328665,103.7862,122,38.54,88.2,104368,9,-2,-13,84,-59,-83,11,-1,0,-125,-3,-19,1230,1.604,1023,-92,1,-6,-3643,5252,-4339,116,745,948,788,,,,1,1,0.07984969
0D00:01:27.741068000,14,1.328665,103.7862,122,39.72,88.3,104720,0,-13,-41,105,-73,-94,-13,-6,0,-144,0,-19,1221,1.604,1023,-96,13,4,-3360,11219,-84,116,1000,986,787,,,,1,1,0.7277506
0D00:01:27.761422000,14,1.328667,103.7863,121,39.72,88.3,104760,0,-9,-29,106,-76,-96,-8,1,0,-144,0,-19,1221,1.595,1023,-96,9,0,-3232,11568,811,116,923,986,784,,,,1,1,0.08241191
0D00:01:27.961806000,14,1.32867,103.7864,121,45.12,88.5,105152,3,0,-38,112,-88,-107,-10,7,0,-135,14,-5,1226,1.577,1023,-93,8,11,-2704,14421,3554,116,995,1116,801,,,,1,1,0.9216438
0D00:01:28.439557000,14,1.32868,103.7866,120,58.73,87.1,106088,-7,3,-3,33,-51,-111,8,3,0,-157,12,16,1236,1.604,1023,-99,5,10,-1515,9917,2703,116,785,738,413,,,,1,1,1.661796
0D00:01:28.561937000,14,1.328686,103.7867,120,61.79,86.6,106328,0,0,-5,30,-52,-116,5,0,0,-158,4,16,1252,1.604,1023,-107,2,11,-1480,9785,5735,116,845,772,453,,,,1,1,0.7708318
0D00:01:28.762097000,14,1.328693,103.7868,119,64.19,87,106720,-5,3,-11,26,-51,-132,2,0,0,-143,0,20,1268,1.595,1023,-90,-4,15,-1145,9186,6830,116,950,836,398,,,,1,1,1.309712
0D00:01:28.962168000,14,1.328699,103.7869,118,65.79,87.1,107112,-10,12,27,2,-33,-126,-1,2,0,-142,0,30,1277,1.595,1023,-84,-12,7,-1379,7179,6801,329,868,741,370,,,,1,1,1.341761
0D00:01:29.153685000,14,1.328706,103.787,117,66.44,86.7,107488,4,3,35,-2,-19,-104,4,11,0,-136,0,29,1287,1.604,1023,-95,-4,3,-1095,5484,6758,413,755,758,463,,,,1,1,1.297084
0D00:01:29.443713000,14,1.328714,103.7872,117,67.02,86.2,108056,8,10,41,4,0,-66,-9,15,0,-98,0,30,1313,1.604,1023,-72,-11,2,-1464,3356,7299,642,640,776,542,,,,1,1,1.981415
0D00:01:29.541628000,13,1.328714,103.7872,117,67.47,86,108248,-2,1,28,11,3,-58,-12,-6,0,-64,0,32,1315,1.604,1023,-38,-2,7,-1635,2818,7213,591,735,710,581,,,,1,1,0.6734276
0D00:01:29.562049000,13,1.328722,103.7873,116,67.47,86,108288,0,-2,17,9,2,-56,10,1,0,-57,0,32,1315,1.613,1023,-36,3,11,-2586,2915,7183,522,698,793,604,,,,1,1,0.140449
0D00:01:29.741506000,14,1.328722,103.7873,116,67.61,86.6,108640,13,10,21,14,7,-48,25,9,0,2,0,30,1355,1.595,1023,-12,-11,9,-1972,2630,7572,612,611,987,731,,,,1,1,1.236808
