time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
158812767, 8, 1.3294213, 103.7861032, 24, 0.06, 316.0
159106362, 8, 1.3294212, 103.7861035, 24, 0.06, 316.0
159276468, 8, 1.3294212, 103.7861038, 24, 0.06, 316.0
159446476, 8, 1.3294211, 103.7861040, 24, 0.01, 316.0
159616505, 8, 1.3294210, 103.7861044, 24, 0.04, 316.0
159796842, 8, 1.3294210, 103.7861048, 24, 0.09, 316.0
160276893, 8, 1.3294210, 103.7861050, 24, 0.02, 316.0
160537545, 8, 1.3294209, 103.7861058, 24, 0.01, 316.0
160707859, 8, 1.3294208, 103.7861060, 24, 0.03, 316.0
161287643, 8, 1.3294206, 103.7861065, 24, 0.07, 316.0
161457958, 8, 1.3294206, 103.7861066, 24, 0.05, 316.0
161628381, 8, 1.3294205, 103.7861068, 24, 0.03, 316.0
162118726, 8, 1.3294203, 103.7861071, 24, 0.05, 316.0
162288686, 8, 1.3294202, 103.7861073, 24, 0.06, 316.0
162549153, 8, 1.3294202, 103.7861075, 24, 0.06, 316.0
162719055, 8, 1.3294202, 103.7861077, 24, 0.05, 316.0
163199441, 8, 1.3294203, 103.7861079, 24, 0.08, 316.0
163379598, 8, 1.3294202, 103.7861080, 24, 0.05, 316.0
163549428, 8, 1.3294202, 103.7861081, 24, 0.03, 316.0
163759482, 8, 1.3294201, 103.7861083, 23, 0.03, 316.0
164249753, 8, 1.3294200, 103.7861085, 23, 0.09, 316.0
164420231, 8, 1.3294200, 103.7861086, 23, 0.05, 316.0
164590359, 8, 1.3294199, 103.7861088, 23, 0.06, 316.0
164780590, 8, 1.3294197, 103.7861089, 23, 0.05, 316.0
165291840, 8, 1.3294194, 103.7861090, 23, 0.05, 316.0
165412017, 8, 1.3294193, 103.7861092, 23, 0.05, 316.0
165582008, 8, 1.3294192, 103.7861093, 23, 0.03, 316.0
165752433, 8, 1.3294190, 103.7861094, 23, 0.03, 316.0
166243115, 8, 1.3294190, 103.7861095, 23, 0.07, 316.0
166583380, 8, 1.3294189, 103.7861094, 23, 0.06, 316.0
166753816, 8, 1.3294188, 103.7861093, 23, 0.07, 316.0
166923691, 8, 1.3294178, 103.7861095, 23, 0.10, 316.0
167164038, 8, 1.3294111, 103.7861074, 24, 0.94, 230.8
167333790, 8, 1.3294032, 103.7861058, 24, 3.12, 204.0
167504207, 8, 1.3293922, 103.7861053, 25, 5.58, 191.6
167764768, 8, 1.3293692, 103.7861159, 26, 6.71, 183.5
167914747, 8, 1.3293550, 103.7861481, 28, 6.71, 183.5
168084690, 8, 1.3293483, 103.7861713, 29, 12.12, 105.8
168555138, 8, 1.3293331, 103.7862316, 31, 12.12, 105.8
168724980, 8, 1.3293248, 103.7862724, 32, 20.02, 102.6
168895237, 8, 1.3293161, 103.7863230, 33, 25.89, 100.4
169065507, 8, 1.3293073, 103.7863832, 34, 31.05, 98.8
169235254, 8, 1.3292989, 103.7864545, 35, 36.17, 97.4
169405746, 8, 1.3292908, 103.7865402, 36, 43.51, 95.9
169635406, 8, 1.3292753, 103.7867434, 40, 51.85, 94.7
169805862, 8, 1.3292674, 103.7868480, 42, 59.82, 94.0
169986019, 8, 1.3292597, 103.7869442, 43, 56.82, 94.5
170466126, 8, 1.3292528, 103.7870309, 45, 50.56, 94.5
170636545, 8, 1.3292472, 103.7871118, 47, 46.11, 94.4
170806503, 8, 1.3292448, 103.7871902, 49, 44.11, 93.5
170986562, 8, 1.3292480, 103.7872687, 51, 43.17, 89.9
171156591, 8, 1.3292562, 103.7873497, 54, 44.29, 85.5
