time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
34292932, 18, 1.3293927, 103.7861815, 25, 0.02, 189.4
34296004, 18, 1.3293927, 103.7861817, 25, 0.05, 189.4
34578007, 18, 1.3293927, 103.7861819, 25, 0.05, 189.4
34768381, 18, 1.3293927, 103.7861820, 25, 0.05, 189.4
35038490, 18, 1.3293927, 103.7861821, 25, 0.03, 189.4
35168379, 18, 1.3293926, 103.7861823, 25, 0.01, 189.4
35368722, 18, 1.3293922, 103.7861825, 25, 0.08, 189.4
35568753, 18, 1.3293907, 103.7861823, 25, 0.31, 189.4
35769290, 18, 1.3293860, 103.7861817, 26, 1.46, 191.8
35959225, 17, 1.3293860, 103.7861817, 26, 3.22, 191.3
36039446, 17, 1.3293788, 103.7861807, 27, 4.64, 189.1
36169741, 18, 1.3293788, 103.7861807, 27, 4.64, 189.1
36179933, 18, 1.3293692, 103.7861802, 28, 5.89, 183.5
36369780, 18, 1.3293568, 103.7861819, 28, 5.89, 183.5
36570322, 18, 1.3293430, 103.7861873, 29, 7.70, 165.3
36770556, 18, 1.3293297, 103.7861972, 31, 8.61, 151.3
37041060, 18, 1.3293180, 103.7862119, 31, 11.13, 121.1
37181178, 18, 1.3293085, 103.7862323, 32, 14.00, 110.0
37371313, 18, 1.3293004, 103.7862597, 33, 14.00, 110.0
37571633, 18, 1.3292925, 103.7862949, 33, 17.89, 104.2
37782305, 18, 1.3292837, 103.7863379, 33, 26.37, 101.5
38042692, 18, 1.3292742, 103.7863864, 34, 26.37, 101.5
38172868, 18, 1.3292649, 103.7864383, 34, 28.65, 101.0
38372897, 18, 1.3292560, 103.7864929, 34, 30.07, 99.6
38573553, 18, 1.3292478, 103.7865507, 34, 31.56, 98.9
38773414, 18, 1.3292407, 103.7866137, 35, 33.40, 97.2
39043967, 18, 1.3292356, 103.7866845, 35, 37.12, 95.7
39184363, 18, 1.3292330, 103.7867617, 36, 43.95, 91.2
39384410, 18, 1.3292325, 103.7868390, 37, 42.13, 89.8
39584793, 18, 1.3292336, 103.7869133, 38, 40.68, 88.6
39785165, 18, 1.3292354, 103.7869848, 39, 39.00, 88.7
40045809, 18, 1.3292368, 103.7870535, 40, 39.00, 88.7
40186005, 18, 1.3292388, 103.7871199, 41, 36.37, 87.5
