loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 36347215,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,  -1,   0,   0, -372, -157, 4132, 116, 117, 121, 116, 0, 0, IDLE, 0, 0
  8, 36351273,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -373, -160, 4132, 119, 119, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 16, 36355349,   0,   0,   0,   0,   0,   0,  -1,  -1,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -377, -159, 4129, 118, 123, 116, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 24, 36359414,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -377, -154, 4128, 118, 121, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 32, 36363480,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -382, -156, 4126, 118, 118, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 40, 36367538,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -390, -163, 4126, 116, 118, 118, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 48, 36371620,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -393, -167, 4125, 116, 118, 117, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 56, 36375698,   0,   0,   1,   0,   0,   0,  -1,   1,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -394, -172, 4124, 124, 116, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 64, 36379756,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,  -1, -398, -172, 4122, 122, 117, 116, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 72, 36383832,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -400, -169, 4120, 121, 119, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 80, 36387893,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1012,   0,   0,   0, -402, -169, 4120, 118, 118, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
256, 36477726,   0,   0,   0,   0,   0,   0,  -1,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -412, -167, 4123, 126, 129, 115, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 36481790,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -414, -167, 4121, 117, 116, 123, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 36486096,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -413, -179, 4123, 116, 117, 127, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 36490165,   0,   0,  -1,   0,   0,   0,   0,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -411, -186, 4121, 118, 118, 124, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 36494243,   0,   0,   0,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -395, -183, 4118, 126, 131, 118, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 36498319,  -1,   0,   0,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -378, -179, 4117, 131, 135, 115, 119, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 36502386,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -370, -180, 4115, 115, 122, 120, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 36506445,   0,   0,   0,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -365, -191, 4116, 117, 117, 133, 129, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 36510510,   0,   0,   0,   0,   0,   0,   1,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -360, -206, 4119, 122, 115, 128, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 36514575,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -359, -206, 4117, 125, 121, 118, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
336, 36518642,  -1,   0,   0,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -365, -190, 4117, 137, 137, 115, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
344, 36522705,  -1,   0,   0,   0,   0,   0,  -1,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -372, -176, 4116, 126, 131, 115, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
352, 36526762,   0,   0,   0,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -380, -179, 4120, 116, 116, 130, 131, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
360, 36530836,   0,   0,  -1,   0,   0,   0,   3,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   1, -383, -195, 4127, 118, 120, 141, 128, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
368, 36534917,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -384, -201, 4127, 124, 123, 123, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
376, 36538975,  -1,   0,   0,   0,   0,   0,  -3,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -386, -190, 4126, 134, 141, 116, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
384, 36543053,  -1,   0,   0,   0,   0,   0,  -2,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -394, -174, 4122, 134, 141, 115, 123, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
392, 36547116,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -402, -168, 4121, 116, 116, 124, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
400, 36551174,   0,   0,   0,   0,   0,   0,   4,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -401, -182, 4123, 122, 115, 143, 137, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
408, 36555287,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -400, -193, 4124, 119, 117, 124, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
416, 36559356,   0,   0,   0,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -397, -179, 4124, 132, 139, 118, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
424, 36563422,  -1,   0,   0,   0,   0,   0,  -3,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -401, -159, 4122, 137, 145, 117, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
432, 36567481,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -406, -150, 4120, 119, 121, 115, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
440, 36571542,   0,   0,   0,   0,   0,   0,   5,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -405, -163, 4123, 118, 115, 142, 139, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
448, 36575599,   0,   0,   0,   0,   0,   0,   2,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -401, -185, 4123, 124, 116, 135, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
456, 36579658,   0,   0,  -1,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0, -398, -185, 4122, 130, 134, 120, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
464, 36583729,  -1,   0,  -1,   0,   0,   0,  -4,  -2,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -403, -165, 4119, 139, 153, 118, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
472, 36588072,  -1,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   1,   0, -409, -151, 4115, 130, 133, 115, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
480, 36592148,   0,   0,   0,   0,   0,   0,   5,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -405, -161, 4118, 122, 116, 144, 137, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
488, 36596237,   0,   0,   0,   0,   0,   0,   4,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -404, -189, 4121, 120, 117, 145, 135, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
496, 36600295,   0,   0,  -1,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   1, -402, -200, 4122, 126, 131, 122, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
504, 36604354,  -1,   0,  -1,   0,   0,   0,  -5,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -405, -182, 4119, 144, 156, 118, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
512, 36608431,  -1,   0,   0,   0,   0,   0,  -2,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   1,   0, -413, -158, 4115, 134, 140, 115, 127, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
520, 36612486,   0,   0,   1,   0,   0,   0,   5,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -413, -160, 4116, 122, 115, 137, 139, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
528, 36616559,   0,   0,   0,   0,   0,   0,   4,   2,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,  -1,   0, -410, -188, 4121, 125, 117, 149, 136, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
536, 36620630,   0,   0,  -2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   1, -404, -204, 4123, 120, 128, 128, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
544, 36624722,  -1,   0,  -1,   0,   0,   0,  -5,  -2,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   1, -412, -184, 4121, 141, 161, 119, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
552, 36628780,  -1,  -1,   1,   0,   0,   0,  -3,  -1,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   1,   0, -419, -159, 4118, 141, 148, 115, 130, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
560, 36632847,   0,   0,   2,   0,   0,   0,   5,   1,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,  -1, -417, -167, 4120, 128, 115, 138, 141, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
568, 36636915,   0,   0,   0,   0,   0,   0,   5,   1,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,  -1,   0, -419, -195, 4122, 123, 116, 148, 139, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
576, 36640988,   0,   0,  -3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   1, -419, -201, 4122, 116, 129, 127, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
