time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
40531742, 20, 1.3293906, 103.7861954, 26, 0.09, 0.0
40533764, 20, 1.3293904, 103.7861954, 26, 0.09, 0.0
41040072, 20, 1.3293904, 103.7861952, 26, 0.06, 0.0
41330290, 20, 1.3293905, 103.7861951, 26, 0.08, 0.0
41440278, 20, 1.3293905, 103.7861949, 26, 0.11, 0.0
41640872, 20, 1.3293906, 103.7861948, 26, 0.12, 0.0
41810722, 4, 1.3293906, 103.7861948, 26, 0.09, 0.0
41831013, 4, 1.3293904, 103.7861946, 26, 0.09, 0.0
42021313, 4, 1.3293885, 103.7861950, 26, 0.19, 0.0
42311772, 4, 1.3293850, 103.7861954, 27, 1.63, 154.0
42421470, 4, 1.3293792, 103.7861959, 28, 2.12, 163.3
42621797, 4, 1.3293704, 103.7861971, 30, 4.18, 172.1
42812030, 9, 1.3293704, 103.7861971, 30, 5.58, 168.7
42832390, 9, 1.3293602, 103.7861989, 32, 5.58, 168.7
43032456, 9, 1.3293478, 103.7862023, 34, 6.41, 166.2
43322721, 9, 1.3293336, 103.7862089, 35, 8.28, 159.2
43432800, 9, 1.3293193, 103.7862194, 37, 9.50, 148.3
43633196, 9, 1.3293065, 103.7862340, 38, 10.40, 137.1
43833434, 9, 1.3292957, 103.7862533, 39, 11.63, 124.0
44033322, 9, 1.3292861, 103.7862776, 39, 13.53, 114.4
44313319, 9, 1.3292771, 103.7863061, 40, 15.77, 108.3
44433670, 9, 1.3292677, 103.7863387, 40, 18.01, 106.2
44633815, 9, 1.3292581, 103.7863763, 40, 20.01, 104.8
44833835, 9, 1.3292484, 103.7864187, 40, 23.14, 102.9
45034004, 9, 1.3292391, 103.7864641, 40, 25.31, 102.1
45324341, 9, 1.3292303, 103.7865143, 40, 26.39, 100.9
45434441, 9, 1.3292221, 103.7865758, 40, 30.41, 98.6
45634341, 9, 1.3292150, 103.7866504, 41, 38.79, 96.2
45834607, 9, 1.3292098, 103.7867306, 42, 44.70, 94.6
46034959, 9, 1.3292066, 103.7868105, 44, 45.07, 93.1
46324658, 9, 1.3292055, 103.7868884, 45, 44.32, 91.6
46435069, 9, 1.3292053, 103.7869633, 47, 42.85, 90.4
46635185, 9, 1.3292063, 103.7870348, 48, 40.89, 89.7
46834940, 9, 1.3292087, 103.7871031, 50, 39.02, 88.7
47035376, 9, 1.3292123, 103.7871683, 52, 37.23, 87.5
47325729, 9, 1.3292162, 103.7872319, 54, 35.73, 86.8
47435976, 9, 1.3292203, 103.7872951, 55, 35.57, 86.2
47636164, 9, 1.3292244, 103.7873578, 57, 35.13, 86.3
47836032, 9, 1.3292283, 103.7874208, 59, 35.08, 86.3
48036176, 9, 1.3292320, 103.7874842, 61, 35.32, 86.5
48326346, 9, 1.3292348, 103.7875483, 63, 35.61, 86.9
48436541, 9, 1.3292358, 103.7876127, 65, 35.95, 88.2
48636699, 9, 1.3292354, 103.7876776, 68, 36.03, 89.9
48836779, 9, 1.3292337, 103.7877430, 70, 36.34, 90.9
49036737, 9, 1.3292299, 103.7878085, 72, 36.60, 92.0
49326954, 9, 1.3292210, 103.7878733, 74, 36.53, 94.5
49437328, 9, 1.3292032, 103.7879360, 77, 36.39, 100.8
49637485, 9, 1.3291734, 103.7879936, 79, 36.47, 110.5
49837345, 9, 1.3291306, 103.7880423, 81, 36.49, 123.8
50037403, 9, 1.3290768, 103.7880777, 82, 36.09, 138.2
50327584, 9, 1.3290158, 103.7880969, 84, 35.85, 154.3
50438227, 9, 1.3289523, 103.7880995, 85, 35.50, 170.2
50638087, 9, 1.3288900, 103.7880865, 86, 35.23, 184.7
50838096, 9, 1.3288313, 103.7880573, 86, 35.57, 198.2
51038146, 9, 1.3287768, 103.7880096, 85, 37.65, 213.8
51328610, 9, 1.3287254, 103.7879434, 84, 43.23, 227.1
51438675, 9, 1.3286783, 103.7878612, 83, 49.86, 236.4
51638904, 9, 1.3286361, 103.7877658, 82, 55.36, 243.2
51838857, 9, 1.3285996, 103.7876595, 82, 60.49, 248.9
52039215, 9, 1.3285697, 103.7875440, 81, 64.24, 253.2
52329095, 9, 1.3285462, 103.7874216, 80, 68.22, 257.4
52449379, 9, 1.3285282, 103.7872959, 79, 70.16, 260.3
52639334, 9, 1.3285152, 103.7871690, 77, 70.77, 263.0
52849661, 9, 1.3285068, 103.7870417, 76, 70.87, 265.2
53049721, 9, 1.3285020, 103.7869148, 74, 70.68, 267.0
53329641, 9, 1.3285014, 103.7867904, 73, 70.26, 268.4
53449984, 9, 1.3285066, 103.7866734, 73, 67.96, 270.8
53650031, 9, 1.3285157, 103.7865668, 72, 61.90, 273.8
53850239, 9, 1.3285278, 103.7864668, 73, 57.02, 275.8
54050199, 9, 1.3285434, 103.7863712, 73, 54.92, 278.0
54340390, 9, 1.3285622, 103.7862799, 74, 52.66, 280.4
54430152, 8, 1.3285622, 103.7862799, 74, 50.82, 282.5
54450457, 8, 1.3285813, 103.7861922, 75, 50.82, 282.5
54650629, 8, 1.3285974, 103.7861078, 77, 48.83, 282.2
54850742, 8, 1.3286069, 103.7860266, 78, 46.51, 279.2
55050802, 8, 1.3286072, 103.7859490, 80, 44.19, 273.9
55330614, 8, 1.3285970, 103.7858761, 81, 42.05, 266.5
55431130, 9, 1.3285970, 103.7858761, 81, 39.85, 257.8
55450700, 9, 1.3285762, 103.7858099, 82, 39.85, 257.8
55651091, 9, 1.3285459, 103.7857526, 84, 37.46, 247.6
55851082, 9, 1.3285085, 103.7857074, 85, 34.57, 236.9
56051469, 9, 1.3284689, 103.7856765, 86, 30.54, 224.2
56341323, 9, 1.3284330, 103.7856593, 88, 25.26, 211.6
56451400, 9, 1.3284048, 103.7856537, 90, 19.23, 198.2
56652032, 9, 1.3283839, 103.7856588, 92, 13.32, 179.5
56851808, 9, 1.3283685, 103.7856739, 94, 11.61, 149.8
57051929, 9, 1.3283577, 103.7856979, 95, 13.22, 122.5
57342255, 9, 1.3283519, 103.7857314, 95, 16.48, 106.9
57452571, 9, 1.3283530, 103.7857789, 96, 21.80, 94.3
57652564, 9, 1.3283624, 103.7858438, 95, 31.39, 84.9
57852854, 9, 1.3283802, 103.7859251, 95, 41.64, 79.4
