time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
52359823, 7, 1.3293954, 103.7861840, 25, 0.20, 182.0
52359280, 7, 1.3293954, 103.7861840, 25, 0.11, 182.0
52361849, 7, 1.3293955, 103.7861840, 25, 0.11, 182.0
52667770, 7, 1.3293956, 103.7861840, 25, 0.02, 182.0
52868161, 7, 1.3293955, 103.7861839, 25, 0.04, 182.0
53078226, 7, 1.3293956, 103.7861839, 25, 0.04, 182.0
53358674, 7, 1.3293956, 103.7861838, 25, 0.04, 182.0
53468476, 7, 1.3293955, 103.7861838, 25, 0.03, 182.0
53679154, 7, 1.3293947, 103.7861836, 25, 0.24, 182.0
53869316, 7, 1.3293920, 103.7861830, 25, 0.76, 187.2
54079377, 7, 1.3293867, 103.7861817, 26, 2.39, 193.6
54369690, 7, 1.3293786, 103.7861792, 27, 4.08, 193.5
54479788, 7, 1.3293687, 103.7861761, 28, 5.14, 196.5
54670339, 7, 1.3293557, 103.7861735, 28, 6.71, 194.6
54870501, 7, 1.3293395, 103.7861747, 29, 8.22, 183.0
55081016, 7, 1.3293212, 103.7861818, 30, 10.37, 166.5
55361275, 7, 1.3293024, 103.7861967, 31, 12.72, 148.4
55481258, 7, 1.3292846, 103.7862213, 32, 15.23, 134.1
55681643, 7, 1.3292695, 103.7862580, 33, 19.69, 118.9
55881707, 7, 1.3292567, 103.7863037, 33, 25.51, 108.4
56081743, 7, 1.3292462, 103.7863536, 34, 27.82, 103.5
56371738, 7, 1.3292371, 103.7864068, 35, 29.24, 100.5
56481863, 7, 1.3292286, 103.7864624, 35, 30.78, 98.9
56682026, 7, 1.3292200, 103.7865223, 35, 32.00, 98.3
56882102, 7, 1.3292111, 103.7865894, 35, 35.21, 97.8
57082546, 7, 1.3292023, 103.7866658, 36, 40.13, 96.7
57372913, 7, 1.3291931, 103.7867545, 36, 45.90, 96.9
57482689, 7, 1.3291843, 103.7868550, 38, 53.56, 95.6
57682632, 7, 1.3291765, 103.7869628, 39, 58.69, 94.6
57883091, 7, 1.3291698, 103.7870694, 41, 61.66, 93.8
58083275, 7, 1.3291638, 103.7871670, 43, 57.23, 93.6
58373326, 7, 1.3291590, 103.7872556, 44, 51.72, 93.1
58483269, 7, 1.3291552, 103.7873377, 46, 47.24, 92.5
58683545, 7, 1.3291518, 103.7874161, 48, 44.52, 92.1
58883500, 7, 1.3291484, 103.7874921, 50, 43.03, 92.2
59083627, 7, 1.3291425, 103.7875668, 52, 41.84, 92.5
59373932, 7, 1.3291260, 103.7876379, 53, 41.64, 96.2
59484389, 7, 1.3290953, 103.7877033, 56, 39.94, 107.9
59684433, 7, 1.3290533, 103.7877644, 57, 40.54, 120.8
59884651, 7, 1.3290075, 103.7878252, 59, 42.23, 127.6
60085203, 7, 1.3289684, 103.7878884, 61, 41.70, 125.4
60385313, 7, 1.3289370, 103.7879543, 63, 40.84, 117.6
60475671, 7, 1.3289065, 103.7880204, 66, 40.65, 113.4
60685897, 7, 1.3288704, 103.7880838, 68, 40.80, 115.9
60886151, 7, 1.3288257, 103.7881400, 70, 40.47, 122.5
61086574, 7, 1.3287718, 103.7881859, 70, 38.71, 133.4
61376728, 7, 1.3287156, 103.7882138, 71, 38.45, 144.6
61486787, 7, 1.3286602, 103.7882237, 72, 33.08, 161.8
61686859, 7, 1.3286099, 103.7882198, 73, 29.84, 177.1
61886789, 7, 1.3285663, 103.7882044, 75, 26.54, 191.0
62086848, 7, 1.3285292, 103.7881771, 77, 25.02, 207.2
62377424, 7, 1.3284979, 103.7881388, 78, 26.31, 224.0
62487325, 7, 1.3284724, 103.7880910, 80, 28.62, 236.3
62687182, 7, 1.3284529, 103.7880331, 81, 31.41, 246.9
62887633, 7, 1.3284390, 103.7879628, 82, 36.23, 255.2
63088186, 7, 1.3284289, 103.7878786, 82, 43.08, 261.4
63378179, 7, 1.3284215, 103.7877817, 83, 50.67, 264.6
63488307, 7, 1.3284162, 103.7876747, 83, 57.05, 266.5
63688453, 7, 1.3284114, 103.7875600, 84, 61.70, 267.6
63888238, 7, 1.3284066, 103.7874400, 84, 65.64, 267.6
64088581, 7, 1.3284014, 103.7873164, 85, 67.76, 267.7
64378685, 7, 1.3283947, 103.7871906, 85, 69.55, 267.4
64488910, 7, 1.3283866, 103.7870637, 86, 70.23, 266.6
64688824, 7, 1.3283780, 103.7869357, 87, 70.98, 266.1
64889491, 7, 1.3283688, 103.7868077, 88, 71.35, 266.2
65089401, 7, 1.3283595, 103.7866793, 89, 71.15, 265.6
65379775, 7, 1.3283514, 103.7865506, 89, 71.58, 266.0
65489448, 7, 1.3283452, 103.7864227, 88, 71.35, 266.7
65689525, 7, 1.3283402, 103.7862949, 86, 70.91, 267.9
65899675, 7, 1.3283347, 103.7861673, 84, 70.98, 268.0
66100141, 7, 1.3283307, 103.7860449, 81, 71.01, 267.5
66379871, 7, 1.3283297, 103.7859348, 79, 65.01, 268.6
66490004, 7, 1.3283329, 103.7858360, 76, 57.24, 270.3
66700293, 7, 1.3283351, 103.7857453, 74, 52.86, 273.5
66890520, 7, 1.3283229, 103.7856590, 71, 48.02, 270.1
67100826, 7, 1.3282961, 103.7855812, 68, 48.65, 256.5
67280920, 5, 1.3282961, 103.7855812, 68, 43.41, 246.0
67381078, 5, 1.3282578, 103.7855190, 66, 43.41, 246.0
67500887, 5, 1.3282126, 103.7854686, 64, 39.24, 233.7
67691059, 5, 1.3281647, 103.7854292, 63, 36.32, 225.1
67891263, 5, 1.3281167, 103.7854004, 62, 32.75, 215.8
68091173, 5, 1.3280702, 103.7853814, 61, 29.26, 207.1
68381736, 5, 1.3280272, 103.7853699, 60, 26.13, 198.7
68491911, 5, 1.3279881, 103.7853653, 58, 23.08, 191.2
68691768, 5, 1.3279537, 103.7853676, 57, 20.27, 182.5
68891776, 5, 1.3279249, 103.7853777, 56, 17.75, 169.5
69092135, 5, 1.3279022, 103.7853958, 55, 15.90, 153.1
69392233, 5, 1.3278841, 103.7854216, 55, 16.41, 131.2
69502324, 5, 1.3278711, 103.7854562, 54, 18.53, 119.4
69702162, 5, 1.3278640, 103.7854992, 54, 22.02, 105.3
69902441, 5, 1.3278622, 103.7855488, 54, 25.77, 95.4
70102333, 5, 1.3278642, 103.7856050, 54, 29.33, 89.5
70382933, 5, 1.3278681, 103.7856662, 54, 32.85, 86.6
70502916, 5, 1.3278731, 103.7857314, 55, 35.08, 85.8
70703121, 5, 1.3278794, 103.7857998, 55, 37.29, 85.0
70893911, 5, 1.3278865, 103.7858709, 56, 39.11, 84.3
71103720, 5, 1.3278939, 103.7859433, 57, 40.34, 84.1
71384343, 5, 1.3279016, 103.7860161, 58, 40.72, 84.2
71504584, 5, 1.3279093, 103.7860889, 60, 40.96, 83.8
71704746, 5, 1.3279173, 103.7861613, 62, 40.51, 84.0
71895029, 5, 1.3279266, 103.7862337, 63, 40.43, 83.2
72105256, 5, 1.3279378, 103.7863062, 64, 40.67, 81.9
72386192, 5, 1.3279509, 103.7863791, 64, 40.84, 80.5
72496074, 5, 1.3279657, 103.7864533, 65, 41.40, 79.2
72696027, 5, 1.3279827, 103.7865297, 65, 42.73, 78.2
72896582, 5, 1.3280019, 103.7866094, 65, 44.22, 76.9
73106464, 5, 1.3280231, 103.7866929, 65, 46.89, 76.1
73286583, 7, 1.3280231, 103.7866929, 65, 48.77, 75.6
73396777, 7, 1.3280460, 103.7867778, 66, 48.77, 75.6
73496744, 7, 1.3280706, 103.7868676, 66, 50.81, 75.0
73706691, 7, 1.3280965, 103.7869614, 67, 53.21, 74.7
73907028, 7, 1.3281229, 103.7870599, 68, 55.79, 74.8
74107079, 7, 1.3281486, 103.7871622, 68, 57.93, 75.4
74397143, 7, 1.3281729, 103.7872685, 69, 59.83, 76.7
74507374, 7, 1.3281966, 103.7873783, 71, 61.56, 77.7
74717329, 7, 1.3282211, 103.7874909, 72, 63.69, 77.9
74917284, 7, 1.3282463, 103.7875999, 73, 64.74, 77.6
75117593, 7, 1.3282761, 103.7876983, 75, 60.12, 76.4
75397832, 7, 1.3283176, 103.7877790, 76, 54.55, 69.9
75508152, 7, 1.3283717, 103.7878386, 77, 48.32, 55.5
75718083, 7, 1.3284326, 103.7878771, 78, 42.73, 40.5
75908526, 7, 1.3284957, 103.7878957, 79, 38.28, 24.2
76108583, 7, 1.3285566, 103.7878931, 80, 35.25, 7.9
76399221, 7, 1.3286114, 103.7878717, 80, 33.39, 347.9
76509263, 7, 1.3286571, 103.7878339, 81, 32.63, 330.0
76709429, 7, 1.3286907, 103.7877830, 82, 33.72, 311.6
76909491, 7, 1.3287111, 103.7877230, 84, 34.50, 295.8
77109478, 7, 1.3287206, 103.7876573, 87, 36.25, 282.1
77399530, 7, 1.3287249, 103.7875886, 90, 37.67, 274.2
77509662, 7, 1.3287282, 103.7875189, 92, 38.62, 272.0
77709869, 7, 1.3287323, 103.7874493, 95, 38.88, 272.9
77910151, 7, 1.3287369, 103.7873812, 97, 38.62, 273.6
78110044, 7, 1.3287420, 103.7873152, 99, 37.45, 274.5
78400221, 7, 1.3287469, 103.7872510, 100, 36.38, 274.6
78510523, 7, 1.3287510, 103.7871885, 102, 35.24, 274.4
78710341, 7, 1.3287541, 103.7871274, 102, 34.36, 273.4
78910675, 7, 1.3287562, 103.7870674, 103, 33.56, 272.5
79110518, 7, 1.3287576, 103.7870086, 103, 32.89, 271.7
79400757, 7, 1.3287579, 103.7869502, 104, 32.44, 270.8
79510758, 7, 1.3287578, 103.7868924, 104, 32.25, 270.0
79711072, 7, 1.3287571, 103.7868349, 104, 32.03, 269.5
79922063, 7, 1.3287569, 103.7867779, 104, 31.90, 269.5
80111488, 7, 1.3287578, 103.7867214, 104, 31.59, 270.4
80401711, 7, 1.3287593, 103.7866650, 104, 31.38, 271.3
80511783, 7, 1.3287618, 103.7866076, 105, 31.50, 272.0
80711863, 7, 1.3287648, 103.7865485, 105, 32.42, 272.8
80912166, 7, 1.3287682, 103.7864875, 106, 33.34, 272.9
81112022, 7, 1.3287728, 103.7864245, 107, 34.52, 273.6
81402220, 7, 1.3287787, 103.7863597, 108, 35.63, 274.6
81512321, 7, 1.3287858, 103.7862933, 109, 36.81, 275.6
81712370, 7, 1.3287945, 103.7862263, 111, 37.44, 276.7
81922632, 7, 1.3288043, 103.7861588, 113, 37.75, 278.0
82112627, 7, 1.3288146, 103.7860913, 116, 38.08, 278.5
82403477, 7, 1.3288253, 103.7860248, 118, 37.77, 278.8
82512922, 7, 1.3288350, 103.7859592, 120, 37.02, 279.5
82732888, 7, 1.3288412, 103.7858941, 122, 36.46, 278.2
82913416, 7, 1.3288411, 103.7858300, 124, 35.93, 273.3
83113554, 7, 1.3288344, 103.7857682, 126, 35.12, 267.4
83413489, 7, 1.3288195, 103.7857105, 128, 34.10, 260.4
83523690, 7, 1.3287961, 103.7856596, 130, 32.12, 250.9
