time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
117424085, 8, 1.3294314, 103.7861865, 30, 0.20, 161.4
117523857, 8, 1.3294310, 103.7861866, 30, 0.20, 161.4
117724300, 8, 1.3294309, 103.7861865, 29, 0.09, 161.4
117924310, 8, 1.3294306, 103.7861864, 29, 0.11, 161.4
118124721, 8, 1.3294303, 103.7861864, 29, 0.13, 161.4
118414628, 8, 1.3294301, 103.7861864, 29, 0.16, 161.4
118524750, 8, 1.3294298, 103.7861863, 29, 0.03, 161.4
118724617, 8, 1.3294294, 103.7861864, 29, 0.19, 161.4
118925099, 8, 1.3294288, 103.7861864, 29, 0.24, 161.4
119125229, 8, 1.3294283, 103.7861864, 29, 0.12, 161.4
119415453, 8, 1.3294278, 103.7861864, 29, 0.07, 161.4
119525591, 8, 1.3294270, 103.7861863, 29, 0.05, 161.4
119726003, 8, 1.3294259, 103.7861864, 29, 0.14, 161.4
119926137, 8, 1.3294246, 103.7861864, 30, 0.58, 161.4
120126726, 8, 1.3294216, 103.7861863, 31, 2.07, 176.3
120417309, 8, 1.3294151, 103.7861864, 32, 2.43, 177.1
120527443, 8, 1.3294054, 103.7861870, 34, 4.16, 177.2
120727814, 8, 1.3293926, 103.7861890, 35, 5.79, 173.2
120928018, 8, 1.3293767, 103.7861928, 36, 7.64, 167.7
121127808, 8, 1.3293600, 103.7861990, 38, 8.58, 161.1
121418012, 8, 1.3293443, 103.7862085, 39, 9.56, 152.7
121528013, 8, 1.3293295, 103.7862225, 40, 10.96, 143.0
121728164, 8, 1.3293151, 103.7862409, 41, 12.08, 130.5
121928371, 8, 1.3293025, 103.7862628, 42, 13.72, 123.5
122128281, 8, 1.3292923, 103.7862884, 42, 14.46, 115.1
122418347, 8, 1.3292835, 103.7863186, 43, 16.33, 109.1
122538809, 8, 1.3292757, 103.7863535, 43, 18.80, 104.0
122728688, 8, 1.3292688, 103.7863932, 43, 21.03, 101.0
122928843, 8, 1.3292629, 103.7864379, 43, 23.68, 97.7
123129038, 8, 1.3292575, 103.7864896, 44, 26.55, 96.3
123419035, 8, 1.3292536, 103.7865517, 44, 31.23, 94.6
123529080, 8, 1.3292521, 103.7866250, 45, 37.96, 92.5
123729290, 8, 1.3292530, 103.7867075, 47, 43.64, 90.1
123929653, 8, 1.3292558, 103.7867937, 48, 48.06, 88.2
124129527, 8, 1.3292578, 103.7868785, 50, 47.85, 88.3
124429812, 8, 1.3292590, 103.7869607, 51, 46.54, 88.7
124530219, 8, 1.3292598, 103.7870401, 53, 44.96, 89.0
124730111, 8, 1.3292599, 103.7871167, 54, 43.32, 89.3
124930505, 8, 1.3292592, 103.7871915, 55, 41.93, 90.2
125130690, 8, 1.3292585, 103.7872652, 56, 41.23, 90.3
125420539, 8, 1.3292585, 103.7873389, 57, 40.81, 90.1
125530709, 8, 1.3292597, 103.7874138, 59, 41.11, 89.6
125730880, 8, 1.3292615, 103.7874907, 60, 42.20, 88.5
125930860, 8, 1.3292638, 103.7875699, 62, 43.30, 88.3
126131006, 8, 1.3292664, 103.7876520, 64, 44.89, 88.1
126430866, 8, 1.3292690, 103.7877353, 66, 46.50, 88.2
126531297, 8, 1.3292701, 103.7878173, 68, 46.28, 88.1
126741168, 8, 1.3292660, 103.7878969, 70, 44.95, 90.6
126931445, 8, 1.3292532, 103.7879736, 71, 43.75, 95.3
127141501, 8, 1.3292287, 103.7880458, 73, 42.94, 103.0
127431421, 8, 1.3291932, 103.7881106, 75, 41.69, 112.3
127541576, 8, 1.3291481, 103.7881654, 77, 40.46, 123.8
127741639, 8, 1.3290953, 103.7882082, 79, 38.56, 134.4
127941814, 8, 1.3290373, 103.7882370, 81, 37.12, 146.7
128132156, 8, 1.3289769, 103.7882513, 84, 35.02, 159.7
128432524, 8, 1.3289178, 103.7882513, 86, 33.41, 173.2
128543003, 8, 1.3288635, 103.7882375, 88, 31.98, 186.8
128743265, 8, 1.3288154, 103.7882116, 89, 29.81, 202.1
128943737, 8, 1.3287722, 103.7881754, 91, 30.26, 215.1
129143659, 8, 1.3287340, 103.7881290, 92, 31.74, 225.6
129434392, 8, 1.3287027, 103.7880715, 92, 34.55, 236.5
129534271, 8, 1.3286787, 103.7880022, 93, 38.14, 246.8
129734449, 8, 1.3286606, 103.7879209, 93, 43.35, 254.7
129944838, 8, 1.3286476, 103.7878283, 93, 49.21, 260.1
130135530, 8, 1.3286389, 103.7877256, 92, 54.71, 264.1
130435851, 8, 1.3286320, 103.7876154, 92, 59.80, 266.3
130545963, 8, 1.3286256, 103.7875003, 92, 62.92, 267.0
130746149, 8, 1.3286187, 103.7873821, 93, 65.04, 267.0
130946558, 8, 1.3286106, 103.7872614, 93, 66.52, 266.6
131146617, 8, 1.3286014, 103.7871388, 94, 67.95, 266.0
131436695, 8, 1.3285918, 103.7870197, 95, 68.61, 265.8
131546818, 8, 1.3285812, 103.7869100, 96, 64.29, 265.0
131747016, 8, 1.3285706, 103.7868101, 97, 58.23, 264.3
131946844, 8, 1.3285601, 103.7867178, 99, 53.51, 263.8
132147180, 8, 1.3285499, 103.7866313, 101, 49.73, 263.5
132437554, 8, 1.3285400, 103.7865490, 103, 47.03, 263.5
132547597, 8, 1.3285302, 103.7864698, 105, 45.07, 263.4
132747265, 8, 1.3285203, 103.7863930, 108, 43.56, 263.0
132947738, 8, 1.3285111, 103.7863176, 111, 42.51, 263.0
