loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 103398351,   0,   0,   4,   0,   0,   0,  -2,   0,   0,   0,  -1,   0, 1000, 1.852, 1023,   0,   0,  -1,  -3,  -5, 4238, 142, 126, 115, 132, 0, 0, IDLE, 0, 0
256, 103528646,  -2,   0,   0,   0,   0,   0,  -5,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   2,   0,   0, -20,  11, 4235, 147, 151, 119, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 103532695,   0,   0,   0,   0,   0,   0,   5,  -2,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -28,   7, 4232, 116, 128, 137, 151, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 103537006,   3,  -1,   0,   0,   0,   0,  11,  -1,   0,   0,   0,   0, 1000, 1.852, 1023,  -3,   0,   0, -31, -18, 4230, 115, 125, 172, 182, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 103541050,   1,   0,  -2,   0,   0,   0,  -1,   1,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   1, -22, -34, 4234, 122, 125, 131, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 103545148,  -1,   0,  -1,   0,   0,   0,  -9,   1,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0, -10, -14, 4233, 163, 162, 125, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 103549209,  -1,   0,   2,   0,   0,   0,  -4,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   2,   0,  -1, -12,   5, 4228, 148, 144, 115, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 103553281,   0,  -1,   2,   0,   0,   0,   6,  -3,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   1,  -1, -18,  -1, 4224, 120, 129, 138, 166, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 103557356,   2,   0,   0,   0,   0,   0,   8,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -3,   0,   0, -19, -20, 4228, 115, 121, 161, 162, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 103561428,   1,   0,  -1,   0,   0,   0,  -1,   3,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   1, -10, -33, 4234, 129, 124, 134, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 103565492,  -1,   0,   0,   0,   0,   0,  -8,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0,  -7, -30, 4233, 156, 155, 115, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
336, 103569576,  -1,  -1,   0,   0,   0,   0,  -4,  -2,   0,   0,   0,   0, 1000, 1.852, 1023,   2,   0,   0, -14, -36, 4224, 143, 152, 115, 131, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
344, 103573651,   0,  -1,   0,   0,   0,   0,   7,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,   0, -14, -55, 4226, 117, 121, 146, 156, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
352, 103577719,   1,   0,  -2,   0,   0,   0,   6,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -2,   0,   1,  -9, -73, 4231, 115, 124, 158, 150, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
360, 103581828,   0,   0,  -1,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   1,  -5, -65, 4235, 125, 134, 121, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
368, 103585898,  -1,   0,   0,   0,   0,   0,  -6,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   0,   0, -12, -44, 4232, 147, 151, 115, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
376, 103589965,  -1,   0,   1,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   0,   0, -13, -36, 4227, 130, 128, 115, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
384, 103594024,   1,   0,   0,   0,   0,   0,   6,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   0, -10, -45, 4231, 119, 116, 145, 149, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
392, 103598116,   1,   0,  -2,   0,   0,   0,   5,  -1,   0,   0,   0,   0, 1000, 1.843, 1023,  -2,   0,   1,  -8, -48, 4238, 115, 129, 148, 150, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
400, 103602191,   0,   0,  -3,   0,   0,   0,  -5,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   1, -16, -38, 4237, 137, 150, 128, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
408, 103606255,  -1,   0,   0,   0,   0,   0,  -5,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   0,   0, -22, -20, 4231, 143, 141, 116, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
416, 103610314,   0,   0,   2,   0,   0,   0,   0,   1,   0,   0,  -1,   0, 1000, 1.843, 1012,   0,  -1,  -1, -22, -16, 4229, 132, 115, 123, 127, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
424, 103614375,   1,   0,   0,   0,   0,   0,   6,  -2,   0,   0,  -1,   0, 1000, 1.843, 1012,  -2,   0,   0, -18, -24, 4234, 115, 128, 148, 159, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
432, 103618454,   1,  -1,  -1,   0,   0,   0,   2,  -1,   0,   0,  -1,   0, 1000, 1.852, 1012,  -1,   0,   0, -21, -28, 4239, 115, 129, 136, 141, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
440, 103622518,   0,   0,  -1,   0,   0,   0,  -5,   1,   0,   0,  -1,   0, 1000, 1.852, 1012,   1,   0,   1, -26, -20, 4234, 142, 146, 123, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
448, 103626588,   0,   0,   0,   0,   0,   0,  -3,   1,   0,   0,  -1,   0, 1000, 1.852, 1012,   1,   0,   0, -28,  -5, 4233, 144, 133, 121, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
456, 103630686,   0,   0,   1,   0,   0,   0,   3,   0,   0,   0,  -1,   0, 1000, 1.852, 1012,  -1,   0,   0, -21,  -2, 4234, 119, 116, 132, 139, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
464, 103635018,   1,  -1,  -1,   0,   0,   0,   4,  -2,   0,   0,  -1,   0, 1000, 1.852, 1023,  -2,   1,   1, -19, -14, 4238, 115, 133, 145, 154, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
472, 103639104,   0,   0,  -2,   0,   0,   0,   0,   0,   0,   0,  -1,   0, 1000, 1.852, 1023,  -1,   0,   1, -25, -15, 4238, 115, 129, 126, 119, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
480, 103643177,   0,   0,   0,   0,   0,   0,  -5,   2,   0,   0,  -1,   0, 1000, 1.852, 1023,   1,  -1,   0, -28, -11, 4236, 148, 142, 126, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
488, 103647242,   0,   0,   2,   0,   0,   0,   0,   1,   0,   0,  -1,   0, 1000, 1.852, 1023,   0,  -1,  -1, -22,  -1, 4237, 128, 115, 121, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
496, 103651300,   1,   0,   1,   0,   0,   0,   3,  -1,   0,   0,  -1,   0, 1000, 1.852, 1023,  -1,   0,   0, -18,  -4, 4239, 118, 121, 132, 146, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
504, 103655398,   1,  -1,  -1,   0,   0,   0,   2,  -1,   0,   0,  -1,   0, 1000, 1.852, 1023,  -2,   1,   1, -19, -13, 4240, 115, 131, 137, 142, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
512, 103659460,   0,   0,  -2,   0,   0,   0,  -2,   0,   0,   0,  -1,   0, 1000, 1.852, 1023,   0,   0,   1, -22, -15, 4238, 123, 137, 122, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
520, 103663524,   0,   0,   0,   0,   0,   0,  -3,   2,   0,   0,  -1,   0, 1000, 1.852, 1023,   0,   0,   0, -19,  -9, 4236, 137, 129, 124, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
