time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
54889724, 19, 1.3294089, 103.7860992, 25, 0.08, 135.9
55112711, 19, 1.3294088, 103.7860992, 25, 0.08, 135.9
55383376, 19, 1.3294086, 103.7860993, 25, 0.03, 135.9
55513107, 19, 1.3294085, 103.7860994, 25, 0.01, 135.9
55713415, 19, 1.3294084, 103.7860994, 25, 0.05, 135.9
55914178, 19, 1.3294080, 103.7860995, 25, 0.07, 135.9
56114308, 19, 1.3294062, 103.7860990, 26, 0.40, 135.9
56294406, 18, 1.3294062, 103.7860990, 26, 1.59, 191.0
56394292, 18, 1.3294024, 103.7860974, 26, 1.59, 191.0
56514489, 18, 1.3293959, 103.7860953, 27, 2.74, 200.1
56694221, 19, 1.3293959, 103.7860953, 27, 4.61, 197.9
56714477, 19, 1.3293860, 103.7860922, 27, 4.61, 197.9
56914549, 19, 1.3293713, 103.7860884, 28, 6.76, 197.5
57114914, 19, 1.3293516, 103.7860858, 28, 9.96, 192.0
57395034, 19, 1.3293286, 103.7860863, 29, 11.92, 184.4
57515538, 19, 1.3293044, 103.7860936, 29, 13.59, 173.5
57715652, 19, 1.3292838, 103.7861109, 30, 14.53, 153.5
57905867, 19, 1.3292695, 103.7861371, 31, 15.90, 127.3
58096111, 18, 1.3292695, 103.7861371, 31, 17.41, 110.1
58116439, 18, 1.3292609, 103.7861688, 32, 17.41, 110.1
58396591, 18, 1.3292557, 103.7862045, 33, 19.09, 100.1
58497003, 19, 1.3292557, 103.7862045, 33, 20.90, 95.6
58516763, 19, 1.3292519, 103.7862435, 35, 20.90, 95.6
58717439, 19, 1.3292484, 103.7862874, 36, 22.63, 94.8
58917401, 19, 1.3292455, 103.7863386, 37, 26.09, 93.3
59117992, 19, 1.3292436, 103.7863977, 38, 30.75, 92.6
59398062, 19, 1.3292427, 103.7864639, 40, 34.90, 90.8
59518283, 19, 1.3292418, 103.7865377, 41, 38.64, 90.4
59718924, 19, 1.3292397, 103.7866236, 43, 43.29, 90.9
59919201, 19, 1.3292365, 103.7867228, 44, 52.20, 91.5
60119468, 19, 1.3292332, 103.7868307, 46, 58.10, 91.9
60399376, 19, 1.3292296, 103.7869390, 48, 61.85, 91.4
60519580, 19, 1.3292249, 103.7870420, 50, 58.69, 92.1
60719720, 19, 1.3292199, 103.7871388, 52, 55.92, 92.7
60909667, 18, 1.3292199, 103.7871388, 52, 51.81, 92.8
60929957, 18, 1.3292150, 103.7872289, 54, 51.81, 92.8
61119681, 18, 1.3292097, 103.7873140, 57, 48.57, 93.1
61400146, 18, 1.3292039, 103.7873957, 59, 46.35, 93.7
61520315, 18, 1.3291972, 103.7874745, 61, 44.76, 94.2
61720109, 18, 1.3291867, 103.7875498, 63, 43.34, 95.1
61900227, 19, 1.3291867, 103.7875498, 63, 41.50, 100.5
61920529, 19, 1.3291675, 103.7876198, 65, 41.50, 100.5
62100172, 18, 1.3291675, 103.7876198, 65, 39.69, 110.0
62120313, 18, 1.3291376, 103.7876818, 67, 39.69, 110.0
62300293, 17, 1.3291376, 103.7876818, 67, 37.49, 121.5
62400628, 17, 1.3290970, 103.7877328, 69, 37.49, 121.5
62520594, 17, 1.3290478, 103.7877704, 70, 35.69, 135.5
62700858, 16, 1.3290478, 103.7877704, 70, 33.63, 149.4
62720643, 16, 1.3289931, 103.7877946, 71, 33.63, 149.4
62920803, 16, 1.3289356, 103.7878053, 73, 32.68, 162.4
63121166, 16, 1.3288778, 103.7878020, 76, 32.35, 175.8
63401338, 16, 1.3288235, 103.7877847, 78, 32.07, 190.3
63501316, 15, 1.3288235, 103.7877847, 78, 31.48, 204.8
63521127, 15, 1.3287747, 103.7877561, 79, 31.48, 204.8
63701376, 16, 1.3287747, 103.7877561, 79, 31.36, 215.9
63721446, 16, 1.3287326, 103.7877188, 81, 31.36, 215.9
63902114, 14, 1.3287326, 103.7877188, 81, 31.15, 226.9
63921921, 14, 1.3286984, 103.7876739, 82, 31.15, 226.9
64122558, 14, 1.3286710, 103.7876219, 82, 31.60, 238.1
64312661, 15, 1.3286710, 103.7876219, 82, 33.68, 245.9
64412957, 15, 1.3286483, 103.7875636, 82, 33.68, 245.9
64522980, 15, 1.3286309, 103.7874997, 82, 35.84, 251.1
64723129, 15, 1.3286187, 103.7874301, 82, 37.77, 258.0
64903324, 16, 1.3286187, 103.7874301, 82, 40.67, 262.0
64923614, 16, 1.3286107, 103.7873548, 81, 40.67, 262.0
65123240, 16, 1.3286075, 103.7872736, 81, 43.55, 265.7
65403685, 16, 1.3286083, 103.7871869, 80, 46.70, 269.5
65523716, 16, 1.3286122, 103.7870954, 79, 49.61, 271.5
65703805, 15, 1.3286122, 103.7870954, 79, 52.17, 273.1
65724073, 15, 1.3286193, 103.7869986, 79, 52.17, 273.1
65924111, 15, 1.3286301, 103.7868917, 78, 55.67, 275.2
66124174, 15, 1.3286439, 103.7867734, 78, 63.81, 276.3
66314359, 16, 1.3286439, 103.7867734, 78, 68.74, 277.2
66404708, 16, 1.3286603, 103.7866478, 78, 68.74, 277.2
66524513, 16, 1.3286787, 103.7865171, 77, 72.20, 277.6
66724617, 16, 1.3286978, 103.7863830, 77, 74.47, 278.1
66924759, 16, 1.3287175, 103.7862465, 77, 76.17, 278.0
67115063, 15, 1.3287175, 103.7862465, 77, 77.15, 278.2
67124682, 15, 1.3287377, 103.7861087, 78, 77.15, 278.2
67415116, 15, 1.3287582, 103.7859703, 78, 77.68, 278.4
67515176, 16, 1.3287582, 103.7859703, 78, 77.96, 278.4
67524875, 16, 1.3287771, 103.7858331, 78, 77.96, 278.4
67734965, 16, 1.3287887, 103.7857035, 79, 76.15, 277.1
67935101, 16, 1.3287808, 103.7855888, 79, 68.72, 273.0
68115527, 17, 1.3287808, 103.7855888, 79, 59.70, 258.9
68135312, 17, 1.3287530, 103.7854940, 79, 59.70, 258.9
68415801, 17, 1.3287154, 103.7854182, 78, 50.32, 248.3
68515727, 18, 1.3287154, 103.7854182, 78, 43.84, 239.1
68535588, 18, 1.3286720, 103.7853594, 78, 43.84, 239.1
68715952, 16, 1.3286720, 103.7853594, 78, 37.39, 228.2
68735761, 16, 1.3286268, 103.7853170, 77, 37.39, 228.2
68915729, 15, 1.3286268, 103.7853170, 77, 31.41, 217.9
68936010, 15, 1.3285829, 103.7852898, 77, 31.41, 217.9
69136223, 15, 1.3285429, 103.7852760, 76, 26.12, 205.0
69416430, 15, 1.3285093, 103.7852735, 75, 20.75, 191.9
69536196, 15, 1.3284819, 103.7852820, 74, 16.73, 175.0
69736304, 15, 1.3284601, 103.7853022, 73, 15.51, 149.3
69936669, 15, 1.3284425, 103.7853337, 73, 17.84, 125.9
70136655, 15, 1.3284282, 103.7853754, 74, 22.17, 112.8
70316524, 16, 1.3284282, 103.7853754, 74, 26.86, 105.1
70416922, 16, 1.3284170, 103.7854261, 75, 26.86, 105.1
70516856, 17, 1.3284170, 103.7854261, 75, 30.90, 99.6
70537139, 17, 1.3284096, 103.7854843, 76, 30.90, 99.6
70737233, 17, 1.3284058, 103.7855479, 78, 34.28, 94.6
70917307, 16, 1.3284058, 103.7855479, 78, 36.56, 91.9
70926977, 16, 1.3284041, 103.7856151, 79, 36.56, 91.9
71117516, 17, 1.3284041, 103.7856151, 79, 38.20, 90.8
71137337, 17, 1.3284034, 103.7856850, 81, 38.20, 90.8
71317472, 18, 1.3284034, 103.7856850, 81, 39.41, 90.0
71417488, 18, 1.3284036, 103.7857569, 82, 39.41, 90.0
71527578, 17, 1.3284036, 103.7857569, 82, 40.46, 89.4
71537522, 17, 1.3284045, 103.7858304, 83, 40.46, 89.4
71737473, 17, 1.3284061, 103.7859050, 83, 41.24, 89.0
71937682, 17, 1.3284087, 103.7859804, 83, 41.71, 88.5
72118057, 18, 1.3284087, 103.7859804, 83, 42.10, 87.6
72137851, 18, 1.3284125, 103.7860574, 83, 42.10, 87.6
72418477, 18, 1.3284172, 103.7861366, 83, 43.44, 86.7
72538644, 18, 1.3284233, 103.7862193, 82, 44.71, 86.3
72739097, 18, 1.3284309, 103.7863081, 82, 47.50, 85.4
72939483, 18, 1.3284396, 103.7864058, 81, 51.61, 84.9
73139793, 18, 1.3284499, 103.7865115, 81, 57.35, 84.5
73419774, 18, 1.3284613, 103.7866221, 80, 60.69, 84.0
73530334, 18, 1.3284733, 103.7867360, 79, 62.87, 84.0
73740595, 18, 1.3284857, 103.7868523, 78, 64.50, 83.7
73920796, 17, 1.3284857, 103.7868523, 78, 65.52, 83.9
73940561, 17, 1.3284982, 103.7869702, 77, 65.52, 83.9
74141090, 17, 1.3285110, 103.7870889, 76, 66.28, 83.9
74421711, 17, 1.3285238, 103.7872050, 76, 66.64, 83.6
74541644, 17, 1.3285381, 103.7873118, 75, 63.31, 83.7
74741888, 17, 1.3285617, 103.7874059, 76, 56.65, 80.8
74942457, 17, 1.3285970, 103.7874874, 76, 51.83, 70.8
75142445, 17, 1.3286381, 103.7875585, 76, 47.13, 62.1
75423226, 17, 1.3286824, 103.7876217, 77, 44.18, 58.0
