loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 107422364,   2,   1,   0,   0,   0,   0,  10,   3,   0,   0,   0,   0, 1000, 1.834, 1012,  -3,  -1,   0, -298, -214, 4192, 132, 117, 188, 166, 0, 0, IDLE, 0, 0
256, 107552887,   5,  -1,   3,   0,   0,   0,   6,  -4,   0,   6,   0,   0, 1000, 1.843, 1012,  -1,   1,  -1, -218, -199, 4221, 123, 131, 157, 195, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 107556933,   3,   0,  -5,   0,   0,   0,  -4,   1,   0,   6,   0,   0, 1000, 1.843, 1012,   1,   1,   2, -213, -177, 4233, 120, 138, 139, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 107560983,   2,   0,  -7,   0,   0,   0,  -5,   4,   0,   6,   0,   0, 1000, 1.843, 1012,   2,   0,   2, -187, -150, 4212, 138, 148, 157, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 107565050,   4,   0,   0,   0,   0,   0,   3,   0,   0,   6,   0,   0, 1000, 1.843, 1012,   0,   0,   0, -180, -141, 4196, 116, 117, 150, 146, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 107569144,   5,   0,   1,   0,   0,   0,   4,  -3,   0,   6,   0,   0, 1000, 1.843, 1012,  -1,   1,  -1, -160, -140, 4202, 119, 131, 154, 180, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 107573191,   4,   0,   1,   0,   0,   0,   0,   2,   0,   6,   0,   0, 1000, 1.843, 1012,   0,   0,  -1, -169, -122, 4230, 128, 115, 138, 135, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 107577270,   3,   0,  -1,   0,   0,   0,  -4,   3,   0,   6,   0,   0, 1000, 1.843, 1012,   1,  -1,   1, -140, -108, 4213, 135, 124, 140, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 107581342,   3,   0,  -6,   0,   0,   0,  -1,   0,   0,   6,   0,   0, 1000, 1.843, 1012,   1,   0,   2, -145, -94, 4197, 117, 141, 153, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 107585400,   4,   0,  -3,   0,   0,   0,   2,  -4,   0,   6,   0,   0, 1000, 1.843, 1012,   0,   1,   1, -125, -96, 4187, 115, 141, 148, 153, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 107589464,   5,   0,   2,   0,   0,   0,   4,   1,   0,   6,   0,   0, 1000, 1.843, 1012,  -1,   0,  -1, -135, -85, 4218, 130, 115, 162, 167, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
