loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 40531232,  -3,   0,   2,   0,   0,   0,  -4,   0,   0,  -3,   0,   0, 1000, 2.224, 1023,   1,   0,  -1,  25, -196, 4193, 156, 148, 115, 129, 0, 0, IDLE, 0, 0
256, 40661641,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  62, -207, 4200, 130, 115, 119, 127, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 40665697,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  73, -204, 4199, 126, 121, 125, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 40670010,   0,   0,   0,   0,   0,   0,   2,  -2,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   1,   0,  66, -217, 4205, 117, 124, 125, 138, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 40674071,   0,   0,   2,   0,   0,   0,   0,  -1,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  83, -234, 4206, 125, 122, 117, 137, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 40678142,  -1,   0,   0,   0,   0,   0,  -5,   2,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   0, 101, -227, 4204, 156, 145, 126, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 40682220,   0,   0,  -2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   1, 108, -240, 4209, 116, 126, 130, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 40686316,   1,   0,   0,   0,   0,   0,   5,  -1,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,   0, 104, -255, 4213, 117, 119, 141, 150, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 40690379,   0,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1, 105, -252, 4214, 133, 117, 117, 127, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 40694441,  -1,   0,  -2,   0,   0,   0,  -6,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   2,   0,   1, 104, -229, 4211, 147, 159, 123, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 40698504,   0,   0,  -2,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   1,  97, -233, 4212, 115, 126, 133, 123, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
336, 40702606,   1,   0,   1,   0,   0,   0,   7,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -2,   0,  -1,  92, -238, 4215, 123, 115, 153, 159, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
344, 40706677,   0,   0,   2,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  89, -225, 4215, 133, 124, 115, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
352, 40710749,  -1,   0,  -2,   0,   0,   0,  -6,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  84, -201, 4212, 145, 160, 124, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
360, 40714819,   0,   0,  -1,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  78, -200, 4211, 117, 118, 132, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
368, 40718883,   1,   0,   3,   0,   0,   0,   7,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -2,   0,  -1,  74, -210, 4213, 129, 115, 155, 166, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
376, 40722943,   0,   0,   0,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  72, -202, 4213, 126, 126, 115, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
384, 40727024,   0,   0,  -3,   0,   0,   0,  -5,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  70, -186, 4207, 138, 155, 129, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
392, 40731083,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,   0,  64, -188, 4208, 116, 116, 126, 128, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
400, 40735146,   1,   0,   2,   0,   0,   0,   5,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -2,   0,  -1,  64, -196, 4210, 123, 117, 141, 152, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
408, 40739237,   0,   0,  -2,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   1,  61, -192, 4209, 129, 137, 126, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
416, 40743297,   0,   0,  -3,   0,   0,   0,  -4,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  59, -193, 4206, 135, 150, 128, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
424, 40747365,   0,   0,   1,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,  -1,  59, -197, 4205, 123, 115, 129, 137, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
432, 40751430,   0,   0,   2,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  55, -202, 4206, 123, 117, 124, 135, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
440, 40755515,   0,   0,  -2,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  58, -198, 4202, 130, 138, 126, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
448, 40759586,   0,   0,   0,   0,   0,   0,  -1,   1,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  56, -201, 4203, 126, 124, 123, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
456, 40763656,   0,   0,   2,   0,   0,   0,   3,  -1,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,  -1,  57, -206, 4203, 123, 119, 127, 146, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
464, 40767990,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  71, -213, 4200, 120, 118, 115, 119, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
472, 40772056,   0,   0,  -2,   0,   0,   0,  -2,   1,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  90, -217, 4196, 129, 135, 130, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
480, 40776117,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  90, -227, 4197, 115, 118, 120, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
488, 40780190,   0,   0,   2,   0,   0,   0,   2,  -1,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,  -1,  94, -227, 4197, 121, 119, 125, 142, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
496, 40784252,   0,   0,   0,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   0,  94, -220, 4196, 127, 127, 118, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
504, 40788314,   0,   0,  -3,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   1,  97, -221, 4194, 125, 135, 129, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
512, 40792380,   1,   0,   0,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,   0,  89, -224, 4196, 117, 118, 134, 140, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
520, 40796443,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  87, -220, 4198, 124, 116, 117, 128, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
528, 40800501,   0,   0,  -1,   0,   0,   0,  -4,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   0,  81, -209, 4198, 138, 140, 122, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
536, 40804555,   0,   0,  -2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,   1,  81, -205, 4199, 116, 124, 129, 119, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
544, 40808626,   0,   0,   0,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 2.224, 1023,  -1,   0,   0,  70, -210, 4203, 117, 118, 134, 141, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
552, 40812696,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   0,   0,  -1,  73, -209, 4205, 126, 115, 117, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
560, 40816766,   0,   0,  -2,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 2.224, 1023,   1,   0,   1,  72, -192, 4204, 132, 145, 123, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
568, 40820824,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 2.216, 1023,   0,   0,   1,  73, -194, 4205, 117, 127, 123, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
576, 40824891,   1,   0,   1,   0,   0,   0,   6,   0,   0,   0,   0,   0, 1000, 2.216, 1023,  -2,   0,  -1,  67, -202, 4208, 123, 116, 146, 154, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
584, 40828955,   0,   0,   1,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 2.216, 1023,   0,   0,   0,  68, -198, 4208, 124, 120, 115, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
