loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 56754918,   1,   0,   0,   0,   0,   0,   1,   1,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   0, 163, -192, 4233, 123, 115, 132, 128, 0, 0, IDLE, 0, 0
256, 56885449,   0,   0,  -2,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   1, 185, -211, 4259, 126, 131, 128, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 56889516,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   1, 184, -208, 4259, 120, 128, 123, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 56893833,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   0, 184, -204, 4256, 116, 118, 115, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 56897909,   0,   0,   0,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   0, 187, -205, 4253, 115, 118, 133, 135, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 56901959,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,  -1, 186, -217, 4254, 126, 115, 119, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 56906023,   0,   0,   0,   0,   0,   0,  -2,   0,   0,   0,   0,   1, 1000, 1.843, 1023,   0,   0,   1, 190, -204, 4253, 127, 130, 116, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 56910076,  -1,   0,   0,   0,   0,   0,  -2,   0,   0,   0,   0,   1, 1000, 1.843, 1023,   0,   0,   1, 183, -196, 4253, 130, 130, 117, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 56914124,   0,   0,   1,   0,   0,   0,   2,   0,   0,   0,   0,   1, 1000, 1.843, 1023,  -1,   0,   0, 155, -198, 4258, 121, 115, 125, 130, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 56918195,   0,   0,   5,   0,   0,   0,   3,   0,   0,   0,   0,   3, 1000, 1.843, 1023,  -1,   0,   0, 136, -204, 4261, 138, 117, 129, 154, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 56922238,   0,   0,   3,   0,   0,   0,  -2,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,   0, 127, -209, 4263, 144, 127, 115, 132, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
336, 56926288,  -1,   0,   1,   0,   0,   0,  -3,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   1,   0,   1, 122, -202, 4262, 140, 132, 116, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
344, 56930335,  -1,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   1,   0,   1, 123, -202, 4264, 130, 124, 115, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
352, 56934378,   0,   0,   4,   0,   0,   0,   1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,   0, 129, -210, 4265, 131, 116, 119, 137, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
360, 56938425,   0,   0,   7,   0,   0,   0,   1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,  -1, 136, -212, 4263, 146, 116, 122, 153, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
368, 56942457,   0,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,  -1, 143, -218, 4266, 142, 120, 115, 147, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
376, 56946544,   0,   0,   2,   0,   0,   0,  -1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,   1, 154, -216, 4266, 133, 124, 115, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
384, 56950607,  -1,   0,   1,   0,   0,   0,  -1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,   1, 165, -211, 4266, 132, 127, 115, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
392, 56954648,   0,   0,   5,   0,   0,   0,   1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,   0, 169, -207, 4267, 136, 115, 118, 138, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
400, 56958717,   0,   0,   7,   0,   0,   0,   1,   0,   0,   0,   0,   3, 1000, 1.843, 1023,   0,   0,  -1, 171, -204, 4263, 144, 116, 120, 151, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
408, 56962791,   0,   0,   5,   0,   0,   0,   1,   1,   0,   0,   0,   3, 1000, 1.843, 1023,  -1,   0,   0, 175, -211, 4261, 141, 115, 125, 143, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
416, 56966896,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   3, 1000, 1.843, 1023,  -1,   0,   1, 178, -209, 4259, 121, 116, 118, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
424, 56970980,  -1,   0,  -1,   0,   0,   0,  -4,   0,   0,   0,   0,   1, 1000, 1.843, 1023,   1,   0,   1, 177, -200, 4257, 140, 143, 121, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
432, 56975034,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   1, 1000, 1.843, 1023,   0,   0,   0, 179, -198, 4256, 130, 117, 118, 122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
