time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
92894990, 16, 1.3294051, 103.7861843, 25, 0.03, 231.1
93073651, 16, 1.3294051, 103.7861844, 25, 0.03, 231.1
93343524, 16, 1.3294052, 103.7861844, 25, 0.03, 231.1
93674164, 16, 1.3294052, 103.7861843, 25, 0.04, 231.1
93873890, 16, 1.3294051, 103.7861844, 25, 0.05, 231.1
94074335, 16, 1.3294045, 103.7861842, 25, 0.12, 231.1
94344508, 16, 1.3294031, 103.7861838, 25, 0.45, 201.2
94474597, 16, 1.3293997, 103.7861831, 26, 1.18, 196.1
94674916, 16, 1.3293930, 103.7861829, 26, 2.56, 191.1
94875134, 16, 1.3293826, 103.7861840, 27, 4.84, 181.7
95075549, 16, 1.3293701, 103.7861878, 28, 6.68, 171.3
95346166, 16, 1.3293563, 103.7861959, 29, 7.93, 156.9
95476438, 16, 1.3293421, 103.7862087, 30, 9.87, 143.4
95676576, 16, 1.3293276, 103.7862275, 31, 11.61, 132.6
95876538, 16, 1.3293123, 103.7862544, 32, 14.88, 123.4
96076888, 16, 1.3292966, 103.7862908, 32, 19.65, 115.6
96347178, 16, 1.3292812, 103.7863344, 33, 24.37, 110.7
96477272, 16, 1.3292669, 103.7863826, 34, 27.07, 107.7
96677517, 16, 1.3292537, 103.7864339, 34, 28.88, 105.3
96877699, 16, 1.3292428, 103.7864864, 35, 30.13, 102.8
97077640, 16, 1.3292345, 103.7865391, 35, 29.65, 100.2
97347926, 16, 1.3292279, 103.7865922, 36, 29.58, 97.6
97477846, 16, 1.3292226, 103.7866465, 37, 29.99, 96.1
97677835, 16, 1.3292186, 103.7867022, 38, 30.72, 94.9
97878322, 16, 1.3292166, 103.7867596, 39, 31.34, 93.3
98078447, 16, 1.3292170, 103.7868197, 39, 32.51, 90.6
98348656, 16, 1.3292194, 103.7868826, 40, 34.16, 88.5
98478281, 16, 1.3292236, 103.7869472, 41, 35.81, 87.0
98678790, 16, 1.3292294, 103.7870132, 41, 36.32, 85.5
98878489, 16, 1.3292367, 103.7870803, 42, 37.31, 84.4
99078663, 16, 1.3292452, 103.7871481, 43, 37.81, 83.3
99359002, 16, 1.3292544, 103.7872169, 44, 38.31, 82.6
99479334, 16, 1.3292651, 103.7872867, 45, 38.89, 82.1
99679717, 16, 1.3292781, 103.7873582, 47, 39.68, 80.6
99879721, 16, 1.3292936, 103.7874319, 49, 41.14, 78.8
100080167, 16, 1.3293111, 103.7875086, 50, 42.65, 77.4
100360006, 16, 1.3293304, 103.7875909, 53, 44.80, 77.0
100480576, 16, 1.3293499, 103.7876728, 55, 49.41, 76.5
100680713, 16, 1.3293671, 103.7877477, 57, 44.50, 76.6
100880930, 16, 1.3293806, 103.7878179, 59, 41.06, 77.6
101081434, 16, 1.3293887, 103.7878842, 60, 38.44, 80.6
101351556, 16, 1.3293893, 103.7879473, 61, 35.87, 85.8
101481925, 16, 1.3293815, 103.7880083, 62, 34.61, 93.1
101681958, 16, 1.3293643, 103.7880662, 64, 34.11, 101.7
