loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 49589969,   0,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 992,   0,   0,  -1,   5, -18, 4181, 130, 115, 119, 132, 0, 0, IDLE, 0, 0
256, 49720355,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 1.843, 982,  -1,   0,   0,  24, -47, 4201, 119, 115, 129, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
264, 49724411,   0,   0,   3,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,  -1,  22, -41, 4202, 137, 124, 115, 132, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
272, 49728743,   0,   0,   2,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,  -1,  20, -41, 4199, 134, 121, 116, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
280, 49732840,   0,   0,  -3,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 1.834, 982,   0,   0,   1,  14, -34, 4198, 115, 133, 135, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
288, 49736896,   0,   0,  -4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.834, 982,   0,   0,   2,  16, -39, 4197, 119, 139, 133, 116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
296, 49740962,   0,   0,   1,   0,   0,   0,   1,   0,   0,   0,   0,   0, 1000, 1.834, 982,   0,   0,  -1,  12, -38, 4195, 124, 115, 124, 130, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
304, 49745032,   0,   0,   5,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.834, 982,   0,   0,  -2,   7, -32, 4193, 143, 120, 117, 135, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
312, 49749098,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.834, 982,   0,   0,  -1,   6, -27, 4189, 128, 118, 117, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
320, 49753155,   0,   0,  -3,   0,   0,   0,   1,  -1,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,   1,   1, -18, 4189, 115, 134, 136, 126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
328, 49757216,   0,   0,  -3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,   1,   4, -23, 4189, 115, 129, 131, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
336, 49761304,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,  -1,  -1, -18, 4188, 125, 115, 123, 127, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
344, 49765361,   0,   0,   4,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 982,   0,   0,  -2,  -3, -13, 4188, 140, 119, 117, 131, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
