time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
36347723, 15, 1.3294164, 103.7861796, 25, 0.07, 0.0
36586040, 15, 1.3294164, 103.7861795, 25, 0.05, 0.0
36786263, 15, 1.3294163, 103.7861793, 25, 0.02, 0.0
36986400, 15, 1.3294163, 103.7861791, 25, 0.08, 0.0
37266452, 15, 1.3294162, 103.7861790, 25, 0.08, 0.0
37396967, 15, 1.3294160, 103.7861789, 25, 0.05, 0.0
37596866, 15, 1.3294159, 103.7861786, 25, 0.11, 0.0
37796952, 15, 1.3294159, 103.7861785, 25, 0.08, 0.0
37997260, 15, 1.3294159, 103.7861784, 25, 0.05, 0.0
38267731, 15, 1.3294158, 103.7861783, 25, 0.11, 0.0
38388093, 15, 1.3294140, 103.7861783, 25, 0.27, 0.0
38588449, 15, 1.3294105, 103.7861783, 26, 1.42, 171.5
38798742, 15, 1.3294035, 103.7861791, 27, 2.47, 176.8
38988881, 16, 1.3294035, 103.7861791, 27, 5.00, 172.4
38999040, 16, 1.3293930, 103.7861807, 28, 5.00, 172.4
39269047, 16, 1.3293801, 103.7861842, 29, 6.75, 171.1
39399759, 16, 1.3293660, 103.7861908, 30, 8.14, 160.7
39579847, 15, 1.3293660, 103.7861908, 30, 9.40, 149.8
39599711, 15, 1.3293508, 103.7862018, 31, 9.40, 149.8
39799599, 15, 1.3293337, 103.7862185, 32, 11.81, 139.7
40000042, 15, 1.3293149, 103.7862413, 32, 15.10, 133.7
40270272, 15, 1.3292957, 103.7862694, 33, 17.74, 127.0
40400002, 15, 1.3292780, 103.7863024, 34, 19.61, 120.9
40580154, 16, 1.3292780, 103.7863024, 34, 22.00, 115.2
40600477, 16, 1.3292600, 103.7863419, 34, 22.00, 115.2
40800224, 16, 1.3292425, 103.7863917, 34, 26.02, 112.5
41000744, 16, 1.3292247, 103.7864543, 34, 32.41, 107.7
41270568, 16, 1.3292057, 103.7865292, 34, 39.48, 105.0
41400606, 16, 1.3291867, 103.7866138, 35, 45.79, 103.1
41600844, 16, 1.3291688, 103.7867057, 35, 50.60, 101.9
41801438, 16, 1.3291522, 103.7868006, 37, 53.29, 100.1
42001254, 16, 1.3291369, 103.7868951, 39, 54.09, 99.3
42271458, 16, 1.3291220, 103.7869886, 40, 52.68, 99.1
42401431, 16, 1.3291075, 103.7870823, 42, 52.64, 99.0
42601648, 16, 1.3290942, 103.7871747, 43, 52.42, 98.5
42801587, 16, 1.3290819, 103.7872653, 45, 51.12, 98.2
43001645, 16, 1.3290707, 103.7873547, 46, 50.43, 97.6
43281772, 16, 1.3290610, 103.7874427, 48, 49.86, 96.9
43402110, 16, 1.3290516, 103.7875281, 50, 48.83, 95.8
43602496, 16, 1.3290389, 103.7876099, 52, 47.06, 96.5
43802530, 16, 1.3290183, 103.7876855, 53, 45.23, 100.9
44013086, 16, 1.3289877, 103.7877497, 56, 42.27, 109.1
44283387, 16, 1.3289520, 103.7877984, 58, 37.05, 120.3
44403364, 16, 1.3289164, 103.7878322, 60, 31.37, 131.4
44594053, 15, 1.3289164, 103.7878322, 60, 24.48, 141.3
44604221, 15, 1.3288853, 103.7878510, 61, 24.48, 141.3
44804183, 15, 1.3288585, 103.7878563, 62, 17.50, 156.7
45004622, 15, 1.3288346, 103.7878490, 63, 13.94, 180.0
45285049, 15, 1.3288133, 103.7878304, 64, 14.48, 209.0
45404921, 15, 1.3287968, 103.7878010, 65, 16.96, 228.6
45605254, 15, 1.3287866, 103.7877598, 66, 20.61, 248.3
45805599, 15, 1.3287820, 103.7877088, 66, 25.92, 260.6
46005576, 15, 1.3287819, 103.7876497, 67, 30.35, 267.3
46285799, 15, 1.3287852, 103.7875829, 67, 34.67, 271.5
46395803, 14, 1.3287852, 103.7875829, 67, 39.00, 273.6
46406004, 14, 1.3287925, 103.7875086, 68, 39.00, 273.6
46596319, 13, 1.3287925, 103.7875086, 68, 43.13, 277.0
46606004, 13, 1.3288039, 103.7874278, 68, 43.13, 277.0
46796302, 14, 1.3288039, 103.7874278, 68, 46.97, 278.3
46806447, 14, 1.3288168, 103.7873397, 68, 46.97, 278.3
47006691, 14, 1.3288310, 103.7872460, 68, 50.39, 278.2
47287364, 14, 1.3288462, 103.7871493, 68, 52.88, 278.7
47407316, 14, 1.3288608, 103.7870506, 68, 54.15, 279.0
47607494, 14, 1.3288729, 103.7869502, 67, 55.05, 278.0
47807438, 14, 1.3288817, 103.7868488, 66, 55.64, 275.7
48007185, 14, 1.3288876, 103.7867465, 65, 56.01, 274.0
48287461, 14, 1.3288906, 103.7866434, 63, 56.35, 272.4
48407508, 14, 1.3288910, 103.7865402, 62, 56.76, 270.8
48597773, 15, 1.3288910, 103.7865402, 62, 57.04, 269.6
48607999, 15, 1.3288892, 103.7864363, 61, 57.04, 269.6
48807936, 15, 1.3288858, 103.7863340, 59, 57.00, 268.6
49008259, 15, 1.3288812, 103.7862351, 58, 55.32, 267.7
49288327, 15, 1.3288750, 103.7861399, 57, 53.42, 267.1
49398334, 14, 1.3288750, 103.7861399, 57, 51.85, 265.7
49408540, 14, 1.3288658, 103.7860475, 57, 51.85, 265.7
49598269, 13, 1.3288658, 103.7860475, 57, 50.30, 262.9
49608448, 13, 1.3288499, 103.7859593, 57, 50.30, 262.9
49798727, 12, 1.3288499, 103.7859593, 57, 48.94, 257.0
49808395, 12, 1.3288253, 103.7858758, 58, 48.94, 257.0
50008847, 12, 1.3287913, 103.7858003, 59, 47.23, 250.1
50198541, 13, 1.3287913, 103.7858003, 59, 44.42, 241.5
50288976, 13, 1.3287507, 103.7857349, 60, 44.42, 241.5
50399069, 14, 1.3287507, 103.7857349, 60, 41.06, 234.9
50409219, 14, 1.3287061, 103.7856809, 61, 41.06, 234.9
50609267, 14, 1.3286591, 103.7856397, 63, 36.71, 226.7
50799384, 15, 1.3286591, 103.7856397, 63, 31.71, 216.9
50809584, 15, 1.3286142, 103.7856117, 64, 31.71, 216.9
51019693, 15, 1.3285734, 103.7855962, 65, 26.80, 206.7
51289990, 15, 1.3285384, 103.7855929, 67, 21.74, 194.1
51410044, 15, 1.3285103, 103.7856008, 68, 17.39, 175.1
51600232, 14, 1.3285103, 103.7856008, 68, 15.66, 152.3
51610378, 14, 1.3284877, 103.7856179, 70, 15.66, 152.3
51820303, 14, 1.3284698, 103.7856423, 71, 16.28, 133.4
52020707, 14, 1.3284555, 103.7856731, 73, 17.93, 119.4
52200787, 16, 1.3284555, 103.7856731, 73, 20.51, 111.3
52300726, 16, 1.3284433, 103.7857097, 75, 20.51, 111.3
52421408, 16, 1.3284326, 103.7857515, 76, 23.06, 106.3
52620793, 16, 1.3284241, 103.7857973, 77, 25.37, 102.9
52821108, 16, 1.3284180, 103.7858468, 78, 27.46, 99.1
53021059, 16, 1.3284135, 103.7858994, 78, 28.95, 96.7
53301451, 16, 1.3284118, 103.7859568, 78, 30.54, 94.0
53421545, 16, 1.3284124, 103.7860234, 77, 34.27, 91.6
53621417, 16, 1.3284157, 103.7861001, 76, 40.19, 88.9
53821372, 16, 1.3284221, 103.7861865, 76, 45.77, 86.6
54021552, 16, 1.3284309, 103.7862797, 74, 50.78, 85.2
54301777, 16, 1.3284416, 103.7863783, 73, 54.21, 84.1
54422126, 16, 1.3284544, 103.7864798, 72, 56.28, 83.3
54621834, 16, 1.3284685, 103.7865832, 70, 57.78, 82.6
54822441, 16, 1.3284834, 103.7866881, 69, 58.84, 82.2
55022347, 16, 1.3284994, 103.7867938, 68, 59.49, 81.6
55302683, 16, 1.3285163, 103.7869000, 67, 59.84, 81.1
55422703, 16, 1.3285338, 103.7870060, 66, 59.84, 80.8
55623194, 16, 1.3285524, 103.7871111, 66, 59.76, 80.4
55823415, 16, 1.3285719, 103.7872159, 66, 59.55, 79.8
56023525, 16, 1.3285925, 103.7873191, 67, 59.34, 79.4
56303281, 16, 1.3286151, 103.7874177, 68, 58.04, 78.0
56423468, 16, 1.3286398, 103.7875098, 68, 54.95, 76.3
56623434, 16, 1.3286675, 103.7875934, 69, 51.46, 73.8
56823943, 16, 1.3286993, 103.7876665, 70, 47.24, 69.6
57003988, 15, 1.3286993, 103.7876665, 70, 42.58, 62.8
57023865, 15, 1.3287365, 103.7877275, 70, 42.58, 62.8
57213682, 16, 1.3287365, 103.7877275, 70, 37.58, 54.1
57303850, 16, 1.3287778, 103.7877759, 70, 37.58, 54.1
57424014, 16, 1.3288210, 103.7878119, 71, 33.48, 45.2
57624179, 16, 1.3288634, 103.7878341, 71, 29.34, 34.6
57824022, 16, 1.3289009, 103.7878434, 71, 24.20, 21.6
58004430, 15, 1.3289009, 103.7878434, 71, 19.03, 5.9
58024296, 15, 1.3289326, 103.7878407, 72, 19.03, 5.9
58204317, 13, 1.3289326, 103.7878407, 72, 16.75, 343.5
58304830, 13, 1.3289571, 103.7878276, 73, 16.75, 343.5
58424612, 13, 1.3289725, 103.7878067, 74, 14.73, 319.1
58624988, 13, 1.3289794, 103.7877786, 75, 14.71, 294.8
58825205, 13, 1.3289789, 103.7877437, 76, 17.64, 275.8
59015022, 14, 1.3289789, 103.7877437, 76, 21.10, 264.2
59025180, 14, 1.3289719, 103.7877029, 76, 21.10, 264.2
59305015, 14, 1.3289606, 103.7876569, 76, 24.69, 257.6
59425375, 14, 1.3289461, 103.7876062, 76, 27.53, 254.7
59625849, 14, 1.3289292, 103.7875523, 76, 30.14, 253.2
59816036, 15, 1.3289292, 103.7875523, 76, 32.27, 252.3
59825709, 15, 1.3289108, 103.7874935, 75, 32.27, 252.3
60026155, 15, 1.3288916, 103.7874268, 74, 35.55, 253.2
60306623, 15, 1.3288721, 103.7873492, 73, 41.06, 254.8
60426623, 15, 1.3288538, 103.7872600, 71, 47.30, 256.8
60617009, 16, 1.3288538, 103.7872600, 71, 52.93, 259.6
60627248, 16, 1.3288376, 103.7871615, 70, 52.93, 259.6
60827416, 16, 1.3288241, 103.7870564, 69, 57.18, 261.6
